sample_id,sumTPM
ERR1001626,3.007
ERR1001627,2.725
ERR1328122,2.42
ERR1328123,3.449
ERR1328124,3.297
ERR1328125,2.204
ERR1336911,2.78
ERR1336912,2.429
ERR3562601,0
ERR3586677,39.953
ERR3586678,31.349
ERR3586679,31.197
ERR3586680,32.618
ERR3586681,0
ERR3586682,31.357
ERR3586683,12.686
ERR3586684,39.974
ERR3586685,30.668
ERR3586686,20.681
ERR3586687,17.49
ERR3586688,34.597
ERR3586689,31.527
ERR3586690,27.996
ERR3586691,21.858
ERR3586692,11.135
ERR3586693,41.383
ERR3586694,18.447
ERR3586695,60.124
ERR3586696,22.553
ERR3586697,37.28
ERR3586698,43.533
ERR3586699,34.468
ERR3586700,31.928
ERR3586701,26.397
ERR3586702,33.558
ERR3586703,35.711
ERR3586704,5.49
ERR3586705,17.15
ERR3586706,36.218
ERR3586707,34.787
ERR3586708,13.985
ERR3586709,7.858
ERR3586710,22.535
ERR3586711,18.134
ERR3586712,17.892
ERR3586713,7.112
ERR3586714,38.638
ERR3586715,16.428
ERR3586716,19.317
ERR3586717,12.349
ERR3586718,20.206
ERR3586719,23.783
ERR3586720,32.618
ERR3586721,34.878
ERR3586722,4.686
ERR3586723,25.696
ERR3586724,37.48
ERR3586725,32.501
ERR3586726,30.245
ERR3586727,33.824
ERR3586728,33.573
ERR3586729,42.151
ERR3586730,31.294
ERR3586731,14.876
ERR3586732,9.078
ERR3586733,35.683
ERR3586734,21.616
ERR3586735,4.144
ERR3586736,37.806
ERR3586737,22.049
ERR3586738,41.233
ERR3586739,34.477
ERR3586740,34.541
ERR3586741,0
ERR3586742,31.708
ERR3586743,13.228
ERR3586744,44.149
ERR3586745,16.211
ERR3586746,17.241
ERR3586747,8.631
ERR3586748,66.772
ERR3586749,38.483
ERR3586750,40.648
ERR3586751,2.442
ERR3586752,4.15
ERR3586753,2.961
ERR3586754,2.423
ERR3586755,4.337
ERR3586756,3.26
ERR3586757,3.267
ERR3586758,1.337
ERR3586759,2.23
ERR3586760,5.047
ERR3586761,6.165
ERR3586762,8.356
ERR3586763,4.772
ERR3586764,4.504
ERR3586765,6.964
ERR3586766,4.323
ERR3586767,5.738
ERR3586768,2.959
ERR3586769,4.734
ERR3586770,2.974
ERR3586771,2.646
ERR3586772,0
ERR3586773,0.257
ERR3586774,0
ERR3586775,0
ERR3586776,5.597
ERR3586777,4.715
ERR3586778,3.56
ERR3586779,3.564
ERR3586780,1.396
ERR3586781,1.423
ERR3586782,3.147
ERR3586783,1.914
ERR3586784,3.82
ERR3586785,0
ERR3586786,0
ERR3586787,0
ERR3586788,0
ERR3586789,9.013
ERR3586790,8.467
ERR3586791,10.821
ERR3586792,8.781
ERR3586793,3.154
ERR3586794,4.305
ERR3586795,4.392
ERR3586796,4.782
ERR3586797,4.414
ERR3586798,1.374
ERR3586799,1.37
ERR3586800,1.41
ERR3586801,6.899
ERR3586802,9.445
ERR3586803,9.033
ERR3586804,10.63
ERR3586805,5.878
ERR3586806,4.396
ERR3586807,7.253
ERR3586808,7.56
ERR3586809,7.538
ERR3586810,5.888
ERR3586811,5.696
ERR3586812,6.406
ERR3586813,4.001
ERR3586814,5.604
ERR3586815,5.241
ERR3586816,6.321
ERR3586817,5.86
ERR3586818,8.708
ERR3586819,5.727
ERR3586820,7.937
ERR3586821,6.334
ERR3586822,6.507
ERR3586823,7.319
ERR3586824,7.598
ERR3586825,1.258
ERR3586826,1.903
ERR3586827,1.953
ERR3586828,1.71
ERR3586829,0
ERR3586830,1.229
ERR3586831,0.609
ERR3586832,0.614
ERR3586834,6.131
ERR3586835,6.03
ERR3586836,5.74
ERR3586837,4.509
ERR3586838,5.552
ERR3586839,7.176
ERR3586840,0.655
ERR3586841,0
ERR3586842,0.684
ERR3586843,1.291
ERR3586844,1.994
ERR3586845,1.276
ERR3586846,2.993
ERR3586847,1.498
ERR3586848,1.558
ERR3586849,6.054
ERR3586850,4.582
ERR3586851,3.123
ERR3586852,6.985
ERR3586853,6.835
ERR3586854,3.659
ERR3586855,7.181
ERR3586856,5.294
ERR3586857,12.502
ERR3586858,6.022
ERR3586859,4.406
ERR3586860,7.267
ERR3586861,4.731
ERR3586862,4.228
ERR3586863,5.979
ERR3586864,3.85
ERR3586865,5.037
ERR3586866,2.957
ERR3586867,0
ERR3586868,2.719
ERR3586869,0.862
ERR3586870,2.546
ERR3586871,0.874
ERR3586872,2.749
ERR3586873,3.562
ERR3586890,3.408
ERR3586891,2.508
ERR3586892,7.487
ERR3586893,8.583
ERR3586894,9.015
ERR3586895,3.016
ERR3586896,2.172
ERR3586897,0.267
ERR3586898,1.71
ERR3586899,4.175
ERR3586900,10.858
ERR3586901,0
ERR3586902,0.865
ERR3586903,1.325
ERR3586904,0
ERR3586905,4.122
ERR3586906,5.66
ERR3586907,4.216
ERR3586908,2.816
ERR3586909,2.782
ERR3586910,0
ERR3586911,4.628
ERR3586912,7.103
ERR3586913,6.305
ERR3586914,7.904
ERR3586915,9.084
ERR3586916,6.358
ERR3586917,7.153
ERR3586918,7.242
ERR3586919,2.783
ERR3586920,3.623
ERR3586921,3.474
ERR3586922,3.468
ERR3586923,2.692
ERR3586924,2.735
ERR3586925,4.805
ERR3586926,2.42
ERR3586927,3.236
ERR3586928,3.256
ERR3586929,0.617
ERR3586930,3.326
ERR3586931,2.61
ERR3586932,2.637
ERR3586933,1.3
ERR3586934,1.418
ERR3586935,2.269
ERR3586936,3.351
ERR3586937,6.838
ERR3586938,3.679
ERR3586939,3.264
ERR3586940,3.872
ERR3586941,1.606
ERR3586942,0
ERR3586943,3.741
ERR3586944,1.616
ERR3586945,3.058
ERR3586946,3.117
ERR3586947,6.232
ERR3586948,7.754
ERR3586949,6.744
ERR3586950,9.538
ERR3586951,7.46
ERR3586952,6.645
ERR3586953,6.736
ERR3586954,2.945
ERR3586955,2.667
ERR3586956,4.338
ERR3586957,3.746
ERR3586958,4.473
ERR3586959,3.655
ERR3586960,2.116
ERR3586961,2.355
ERR3586962,1.85
ERR3586963,5.765
ERR3586967,1.983
ERR3586968,2.004
ERR3586969,2.728
ERR3586970,0.554
ERR3586971,2.355
ERR3586972,4.691
ERR3586973,2.885
ERR3586974,1.874
ERR3586975,2.297
ERR3586976,5.091
ERR3586977,10.748
ERR3586978,21.481
ERR3586979,8.468
ERR3586980,9.522
ERR3586981,2.527
ERR3586982,6.67
ERR3586983,2.914
ERR3586984,3.175
ERR3586985,3.687
ERR3586986,2.575
ERR3586987,14.55
ERR3586988,0.542
ERR3586989,5.18
ERR3586990,1.368
ERR3586991,8.298
ERR3586992,2.677
ERR3586993,3.603
ERR3586994,1.546
ERR3586995,6.153
ERR3586996,4.128
ERR3586997,8.354
ERR3586998,8.307
ERR3586999,15.483
ERR3587000,6.982
ERR3587001,7.155
ERR3587002,6.482
ERR3587003,5.784
ERR3587004,3.114
ERR3587005,4.246
ERR3587006,2.331
ERR3587007,7.519
ERR3587008,3.507
ERR3587009,0
ERR3587010,0.305
ERR3587011,3.499
ERR3587012,6.347
ERR3587013,7.414
ERR3587014,4.569
ERR3587015,3.852
ERR3587016,2.604
ERR3587017,4.3
ERR3587018,1.051
ERR3587019,2.304
ERR3587020,6.755
ERR3587021,8.637
ERR3587022,4.184
ERR3587023,4.519
ERR3587024,3.232
ERR3587025,0
ERR3587026,5.179
ERR3587027,7.323
ERR3587028,0
ERR3587029,0
ERR3587030,2.426
ERR3587031,4.095
ERR3587035,1.026
ERR3587037,2.482
ERR3587038,0.562
ERR3587039,7.109
ERR3587040,5.202
ERR3587041,2.999
ERR3587042,2.485
ERR3587043,5.355
ERR3587044,0.555
ERR3587045,0
ERR3587046,3.855
ERR3587047,1.989
ERR3587048,3.379
ERR3587049,3.054
ERR3587050,5.871
ERR3587051,6.837
ERR3587052,12.402
ERR3587053,7.565
ERR3587054,12.078
ERR3587055,8.317
ERR3587056,8.291
ERR3587057,6.892
ERR3587058,2.297
ERR3587059,1.356
ERR3587060,5.757
ERR3587061,3.116
ERR3587062,4.301
ERR3587063,2.663
ERR3587064,7.88
ERR3587065,4.746
ERR3587066,5.932
ERR3587067,3.731
ERR3587068,0.843
ERR3587069,0
ERR3587070,2.946
ERR3587071,10.967
ERR3587072,4.68
ERR3587073,5.361
ERR3587074,6.654
ERR3587075,8.311
ERR3587076,5.552
ERR3587077,1.735
ERR3587078,3.879
ERR3587079,3.36
