"sample_id"	"PANGAEA sample id"	"Station.label"	"Layer"	"polar"	"lower.size.fraction"	"upper.size.fraction"	"Event.date"	"Latitude"	"Longitude"	"Depth.nominal"	"Ocean.region"	"Temperature"	"Oxygen"	"ChlorophyllA"	"Carbon.total"	"Salinity"	"Gradient.Surface.temp(SST)"	"Fluorescence"	"CO3"	"HCO3"	"Density"	"PO4"	"PAR.PC"	"NO3"	"Si"	"Alkalinity.total"	"Ammonium.5m"	"Depth.Mixed.Layer"	"Lyapunov"	"NO2"	"Depth.Min.O2"	"NO2NO3"	"Nitracline"	"Brunt.V_is_l_"	"Iron.5m"	"Depth.Max.O2"	"Okubo.Weiss"	"Residence.time"	"Sigma-theta"	"fCDOM"
"ERR1001626"	"TARA_B100000513"	"TARA_076"	"SRF"	"non polar"	0.22	3	"2010-10-16T09:55"	-20.9354	-35.1803	5	"[SAO] South Atlantic Ocean (MRGID:1914)"	23.374825	206.23185	-0.00072	0.0019	37.076575	0.59536	1.636802	0.0016	0	25.40018	0.055883	NA	0.185971	0.814172	0	0.011959192	50	0.027592	0.001404	582	0	849	152	0.000776878	77	0.084131	0	25.40018	1.636802
"ERR1001627"	"TARA_B100000524"	"TARA_078"	"SRF"	"non polar"	0.22	3	"2010-11-04T10:24"	-30.1367	-43.2899	5	"[SAO] South Atlantic Ocean (MRGID:1914)"	20.07775	221.13845	0.00144	0.0054	36.32553	3.7648	1.674628	0.0027	0	25.754115	0	NA	0.025333	0.749	0	0.017718557	89	0.14819	0	600	0.026	580	197	0.000862562	887	0.053558	5.777778	25.754115	1.674628
"ERR1328122"	"TARA_B100001564"	"TARA_151"	"SRF"	"non polar"	0.22	3	"2012-03-09T08:59"	36.1715	-29.023	5	"[NAO] North Atlantic Ocean (MRGID:1912)"	17.303005	232.28725	0.0132	NA	36.229605	1.5662	1.76176	NA	NA	26.38564	0.0125	NA	0.296016	0.6545	NA	0.021044872	56	0.025897	0.019	699	NA	993	118	0.00129951	14	-0.157861	37.583333	26.38564	1.76176
"ERR1328123"	"TARA_B100000091"	"TARA_039"	"DCM"	"non polar"	0.22	1.6	"2010-03-18T11:33"	18.5839	66.4727	25	"[IO] Indian Ocean (MRGID:1904)"	26.692435	187.47615	0.12402	0.00545	36.40162	0.28957	1.43775	0.00925	0	23.87718	0.2465	NA	0	1.2415	0.00115	0.0255102	26	NA	0.011	480	0.0675	124	3	0.00138772	13	0.403157	2.25	23.87718	1.43775
"ERR1328124"	"TARA_B100000091"	"TARA_039"	"DCM"	"non polar"	0.22	1.6	"2010-03-18T11:33"	18.5839	66.4727	25	"[IO] Indian Ocean (MRGID:1904)"	26.692435	187.47615	0.12402	0.00545	36.40162	0.28957	1.43775	0.00925	0	23.87718	0.2465	NA	0	1.2415	0.00115	0.0255102	26	NA	0.011	480	0.0675	124	3	0.00138772	13	0.403157	2.25	23.87718	1.43775
"ERR1328125"	"TARA_B100001564"	"TARA_151"	"SRF"	"non polar"	0.22	3	"2012-03-09T08:59"	36.1715	-29.023	5	"[NAO] North Atlantic Ocean (MRGID:1912)"	17.303005	232.28725	0.0132	NA	36.229605	1.5662	1.76176	NA	NA	26.38564	0.0125	NA	0.296016	0.6545	NA	0.021044872	56	0.025897	0.019	699	NA	993	118	0.00129951	14	-0.157861	37.583333	26.38564	1.76176
"ERR1336911"	"TARA_X100000009"	"TARA_011"	"SRF"	"non polar"	0.22	1.6	"2009-10-04T08:30"	41.6686	2.7996	9	"[MS] Mediterranean Sea (MRGID:1905)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.009132409	NA	0	NA	NA	NA	NA	NA	0.001387775	NA	NA	0	NA	NA
"ERR1336912"	"TARA_X100000009"	"TARA_011"	"SRF"	"non polar"	0.22	1.6	"2009-10-04T08:30"	41.6686	2.7996	9	"[MS] Mediterranean Sea (MRGID:1905)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.009132409	NA	0	NA	NA	NA	NA	NA	0.001387775	NA	NA	0	NA	NA
"ERR3562601"	"TARA_B100000674"	"TARA_124"	"SRF"	"non polar"	0.22	3	"2011-08-04T18:33"	-9.1504	-140.5216	5	"[SPO] South Pacific Ocean (MRGID:1910)"	26.572419	190.378187	0.1494	0.01184	35.384031	0.096513	1.628674	0.01821	0.00774	23.143631	0.63025	NA	4.965553	2.53325	0.00937	0.023188621	103	0.043603	0.1665	286	6.2015	241	113	2.46e-06	13	9.6e-05	2.777778	23.143631	1.628674
"ERR3586677"	"TARA_B110000494"	"TARA_206"	"MES"	"polar"	0.22	3	"2013-10-12T18:02:00"	70.9433	-53.5127	411	"[AO] Arctic Ocean (MRGID:1906)"	3.03554	230.0861	-0.01008	NA	34.50669	NA	3.097493	NA	NA	27.488995	NA	0.000362	13.409788	NA	NA	0.022793755	205	0	NA	472	NA	505	35	0.000494336	15	NA	0	27.488995	3.097493
"ERR3586678"	"TARA_B110000857"	"TARA_208"	"SRF"	"polar"	0.22	3	"2013-10-20T10:34:00"	69.1136	-51.5086	5	"[AO] Arctic Ocean (MRGID:1906)"	3.1965	303.326	0.3732	0.08585	32.99175	1.5239	2.6962	0.0221	0.01	26.265	0.312072	2.751917	1.791002	0.819597	0.0072	0.020453628	141	0	0.1665	316	1.916	342	112	0.000453137	13	-0.016382	0	26.265	2.6962
"ERR3586679"	"TARA_B110000253"	"TARA_189"	"SRF"	"polar"	0.22	3	"2013-08-27T01:53:00"	77.9028	117.1545	5	"[AO] Arctic Ocean (MRGID:1906)"	0.10149	363.6485	0.60864	NA	28.82053	NA	5.496034	NA	NA	23.11621	NA	36.980174	NA	NA	NA	0.000620584	150	0	NA	1010	NA	NA	6	0.001270051	13	NA	0	23.11621	5.496034
"ERR3586680"	"TARA_B110000255"	"TARA_189"	"DCM"	"polar"	0.22	3	"2013-08-27T11:40:00"	77.9668	116.6556	20	"[AO] Arctic Ocean (MRGID:1906)"	-0.607125	371.05845	1.5105	NA	32.726735	0.68124	4.162668	NA	NA	26.29815	NA	5.979815	NA	NA	NA	0.000620584	499	0	NA	618	NA	NA	5	0.001270051	13	NA	0	26.29815	4.162668
"ERR3586681"	"TARA_B110000257"	"TARA_189"	"MES"	"polar"	0.22	3	"2013-08-28T00:47:00"	78.0391	116.4105	299	"[AO] Arctic Ocean (MRGID:1906)"	1.59404	293.889	-0.0078	NA	34.92558	3.8218	2.592579	NA	NA	27.94409	NA	0.000272	NA	NA	NA	0.000620584	499	0	NA	844	NA	NA	4	0.001270051	16	NA	0	27.94409	2.592579
"ERR3586682"	"TARA_B110000283"	"TARA_191"	"SRF"	"polar"	0.22	3	"2013-09-02T22:37:00"	71.5955	160.9383	5	"[AO] Arctic Ocean (MRGID:1906)"	1.48885	340.44375	0.4392	0.05735	28.41685	NA	6.44771	0.0039	0.0083	22.7306	1.195806	4.612347	NA	19.646147	0.00085	0.000260443	NA	0	0.07525	NA	1.06325	NA	NA	0.001360622	NA	-0.089788	2.777778	22.7306	6.44771
"ERR3586683"	"TARA_B110000975"	"TARA_193"	"SRF"	"polar"	0.22	3	"2013-09-08T02:45:00"	71.0704	174.9916	5	"[AO] Arctic Ocean (MRGID:1906)"	2.4534	339.4475	0.8718	0.1744	29.0291	2.0072	2.524221	0.0072	0.002	23.1614	1.614977	74.279057	0	30.149509	0.0031	0.006029853	17	0	0.125	35	6.2695	30	25	0.000702537	27	NA	0	23.1614	2.524221
