PMID	Title	FirstAuthor	LastAuthor	Journal	PubDate	doi	CitationCount	AccessedDate		
26271760	"Every base matters: assessing small subunit rRNA primers for marine microbiomes with mock communities, time series and global field samples."	Parada AE	Fuhrman JA	Environmental microbiology	2016 May	10.1111/1462-2920.13023	2938	2025/7/29		
2330053	Genetic diversity in Sargasso Sea bacterioplankton.	Giovannoni SJ	Field KG	Nature	1990 May 3	10.1038/345060a0	1683	2025/7/29		
27822518	Improved Bacterial 16S rRNA Gene (V4 and V4-5) and Fungal Internal Transcribed Spacer Marker Gene Primers for Microbial Community Surveys.	Walters W	Knight R	mSystems	2016 Jan-Feb	10.1128/mSystems.00009-15	1547	2025/7/29		
16109880	Genome streamlining in a cosmopolitan oceanic bacterium.	Giovannoni SJ	Mathur EJ	"Science (New York, N.Y.)"	2005 Aug 19	10.1126/science.1114057	1097	2025/7/29		
12490947	SAR11 clade dominates ocean surface bacterioplankton communities.	Morris RM	Giovannoni SJ	Nature	2002 Dec 19-26	10.1038/nature01240	1092	2025/7/29		
22448042	The Black Queen Hypothesis: evolution of dependencies through adaptive gene loss.	Morris JJ	Zinser ER	mBio	2012	10.1128/mBio.00036-12	980	2025/7/29		
12167859	Cultivation of the ubiquitous SAR11 marine bacterioplankton clade.	Rapp_ MS	Giovannoni SJ	Nature	2002 Aug 8	10.1038/nature00917	959	2025/7/29		
12147485	High-throughput methods for culturing microorganisms in very-low-nutrient media yield diverse new marine isolates.	Connon SA	Giovannoni SJ	Applied and environmental microbiology	2002 Aug	10.1128/AEM.68.8.3878-3885.2002	752	2025/7/29		
10388721	"Phylogenetic analysis of particle-attached and free-living bacterial communities in the Columbia river, its estuary, and the adjacent coastal ocean."	Crump BC	Baross JA	Applied and environmental microbiology	1999 Jul	10.1128/AEM.65.7.3192-3204.1999	706	2025/7/29		
21430787	"Marine bacterial, archaeal and protistan association networks reveal ecological linkages."	Steele JA	Fuhrman JA	The ISME journal	2011 Sep	10.1038/ismej.2011.24	569	2025/7/29		
22170421	"Genomic insights to SAR86, an abundant and uncultivated marine bacterial lineage."	Dupont CL	Venter JC	The ISME journal	2012 Jun	10.1038/ismej.2011.189	472	2025/7/29		
11010865	Bacterial community structure associated with a dimethylsulfoniopropionate-producing North Atlantic algal bloom.	Gonz_lez JM	Moran MA	Applied and environmental microbiology	2000 Oct	10.1128/AEM.66.10.4237-4246.2000	453	2025/7/29		
27687974	SAR11 Bacteria: The Most Abundant Plankton in the Oceans.	Giovannoni SJ	Giovannoni SJ	Annual review of marine science	2017 Jan 3	10.1146/annurev-marine-010814-015934	398	2025/7/29		
19659500	The seasonal structure of microbial communities in the Western English Channel.	Gilbert JA	Joint I	Environmental microbiology	2009 Dec	10.1111/j.1462-2920.2009.02017.x	393	2025/7/29		
18253713	"Diversity, ecology, and genomics of the Roseobacter clade: a short overview."	Brinkhoff T	Simon M	Archives of microbiology	2008 Jun	10.1007/s00203-008-0353-y	380	2025/7/29		
9925576	Diversity of free-living and attached bacteria in offshore Western Mediterranean waters as depicted by analysis of genes encoding 16S rRNA.	Acinas SG	Rodr_guez-Valera F	Applied and environmental microbiology	1999 Feb	10.1128/AEM.65.2.514-522.1999	375	2025/7/29		
18337719	SAR11 marine bacteria require exogenous reduced sulphur for growth.	Tripp HJ	Giovannoni SJ	Nature	2008 Apr 10	10.1038/nature06776	360	2025/7/29		
11823184	Phylogenetic composition of bacterioplankton assemblages from the Arctic Ocean.	Bano N	Hollibaugh JT	Applied and environmental microbiology	2002 Feb	10.1128/AEM.68.2.505-518.2002	329	2025/7/29		
17068264	Bacterial taxa that limit sulfur flux from the ocean.	Howard EC	Moran MA	"Science (New York, N.Y.)"	2006 Oct 27	10.1126/science.1130657	314	2025/7/29		
16267553	Proteorhodopsin in the ubiquitous marine bacterium SAR11.	Giovannoni SJ	Barofsky DF	Nature	2005 Nov 3	10.1038/nature04032	313	2025/7/29		
18769456	Transport functions dominate the SAR11 metaproteome at low-nutrient extremes in the Sargasso Sea.	Sowell SM	Giovanonni SJ	The ISME journal	2009 Jan	10.1038/ismej.2008.83	311	2025/7/29		
23407494	Abundant SAR11 viruses in the ocean.	Zhao Y	Giovannoni SJ	Nature	2013 Feb 21	10.1038/nature11921	309	2025/7/29		
8979340	Diversity and depth-specific distribution of SAR11 cluster rRNA genes from marine planktonic bacteria.	Field KG	Giovannoni SJ	Applied and environmental microbiology	1997 Jan	10.1128/aem.63.1.63-70.1997	298	2025/7/29		
19207571	Comparative day/night metatranscriptomic analysis of microbial communities in the North Pacific subtropical gyre.	Poretsky RS	Moran MA	Environmental microbiology	2009 Jun	10.1111/j.1462-2920.2008.01863.x	295	2025/7/29		
19444216	Metatranscriptomics reveals unique microbial small RNAs in the ocean's water column.	Shi Y	DeLong EF	Nature	2009 May 14	10.1038/nature08055	291	2025/7/29		
25922985	Bacterial diversity along a 2600_km river continuum.	Savio D	Eiler A	Environmental microbiology	2015 Dec	10.1111/1462-2920.12886	287	2025/7/29		
17483224	A robust species tree for the alphaproteobacteria.	Williams KP	Dickerman AW	Journal of bacteriology	2007 Jul	10.1128/JB.00269-07	281	2025/7/29		
1714704	Phylogenetic analysis of a natural marine bacterioplankton population by rRNA gene cloning and sequencing.	Britschgi TB	Giovannoni SJ	Applied and environmental microbiology	1991 Jun	10.1128/aem.57.6.1707-1713.1991	279	2025/7/29		
14749832	A newly discovered Roseobacter cluster in temperate and polar oceans.	Selje N	Brinkhoff T	Nature	2004 Jan 29	10.1038/nature02272	278	2025/7/29		
11098073	Phylogenetic comparisons of a coastal bacterioplankton community with its counterparts in open ocean and freshwater systems.	Rapp_ MS	Giovannoni SJ	FEMS microbiology ecology	2000 Sep 1	10.1111/j.1574-6941.2000.tb00744.x	271	2025/7/29		
16104869	Coupling 16S-ITS rDNA clone libraries and automated ribosomal intergenic spacer analysis to show marine microbial diversity: development and application to a time series.	Brown MV	Fuhrman JA	Environmental microbiology	2005 Sep	10.1111/j.1462-2920.2005.00835.x	268	2025/7/29		
19052630	Seasonal dynamics of SAR11 populations in the euphotic and mesopelagic zones of the northwestern Sargasso Sea.	Carlson CA	Vergin K	The ISME journal	2009 Mar	10.1038/ismej.2008.117	267	2025/7/29		
22991429	Streamlining and core genome conservation among highly divergent members of the SAR11 clade.	Grote J	Rapp_ MS	mBio	2012	10.1128/mBio.00252-12	265	2025/7/29		
23126454	The role of planktonic Flavobacteria in processing algal organic matter in coastal East Antarctica revealed using metagenomics and metaproteomics.	Williams TJ	Cavicchioli R	Environmental microbiology	2013 May	10.1111/1462-2920.12017	264	2025/7/29		
20937887	Ecosystem-specific selection pressures revealed through comparative population genomics.	Coleman ML	Chisholm SW	Proceedings of the National Academy of Sciences of the United States of America	2010 Oct 26	10.1073/pnas.1009480107	248	2025/7/29		
21151004	Integrated metatranscriptomic and metagenomic analyses of stratified microbial assemblages in the open ocean.	Shi Y	DeLong EF	The ISME journal	2011 Jun	10.1038/ismej.2010.189	246	2025/7/29		
17526789	Potential interactions of particle-associated anammox bacteria with bacterial and archaeal partners in the Namibian upwelling system.	Woebken D	Amann R	Applied and environmental microbiology	2007 Jul	10.1128/AEM.02774-06	241	2025/7/29		
19453607	Latitudinal distribution of prokaryotic picoplankton populations in the Atlantic Ocean.	Schattenhofer M	Pernthaler J	Environmental microbiology	2009 Aug	10.1111/j.1462-2920.2009.01929.x	238	2025/7/29		
24348267	Expanding the marine virosphere using metagenomics.	Mizuno CM	Ghai R	PLoS genetics	2013	10.1371/journal.pgen.1003987	236	2025/7/29		
