OG1	OG2	direction	pvalue	qvalue	signif
OG0001002	OG0000997	103	3.1377808358643217e-94	4.476298836386243e-87	TRUE
OG0001010	OG0001005	106	8.129816202503502e-88	5.798921070482636e-81	TRUE
OG0000948	OG0000939	79	1.3268009862535718e-84	6.309297368169018e-78	TRUE
OG0001174	OG0001175	66	8.25271453504168e-82	2.9432916448464374e-75	TRUE
OG0001004	OG0000997	98	1.2171190323130792e-80	3.472638015896256e-74	TRUE
OG0001234	OG0001236	70	2.6395276725813814e-80	6.275833817719311e-74	TRUE
OG0000857	OG0000849	72	5.0499519095554725e-77	1.0291665642972496e-70	TRUE
OG0000747	OG0000775	60	1.1333142236487692e-76	2.020955814773134e-70	TRUE
OG0000825	OG0000819	68	2.6625105924391108e-76	4.2203192108038206e-70	TRUE
OG0000827	OG0000839	69	7.864981589078955e-76	1.1220034086828006e-69	TRUE
OG0001138	OG0001133	122	1.1712092916302268e-74	1.518931854167336e-68	TRUE
OG0001264	OG0001268	60	1.423216002058125e-72	1.691944208128068e-66	TRUE
OG0001304	OG0001299	52	4.4514379740965576e-72	4.884874832052646e-66	TRUE
OG0000821	OG0000810	66	1.1826690591288838e-71	1.2051238052200345e-65	TRUE
OG0000781	OG0000788	63	4.7420182493678246e-71	4.509915740268817e-65	TRUE
OG0001155	OG0001161	71	6.425003895613299e-71	5.728618203067691e-65	TRUE
OG0001178	OG0001088	62	9.918196871083963e-71	8.323007177863248e-65	TRUE
OG0000707	OG0000345	55	1.9658616123830495e-70	1.5580339008006583e-64	TRUE
OG0001407	OG0001406	55	2.8920708127303732e-70	2.1714597691067315e-64	TRUE
OG0001207	OG0001197	63	5.4078364336689486e-70	3.857358624081763e-64	TRUE
OG0000753	OG0000706	57	5.782373181806478e-70	3.9281068068152313e-64	TRUE
OG0001155	OG0001146	70	3.0094026166280035e-69	1.9514349523509345e-63	TRUE
OG0000218	OG0000691	53	3.6032018732538543e-69	2.2348955182037148e-63	TRUE
OG0000830	OG0000819	67	5.777898445104025e-69	3.4344336331269954e-63	TRUE
OG0000912	OG0000908	78	1.9086295054991453e-68	1.0891259117789708e-62	TRUE
OG0001015	OG0001005	99	2.1416736157438973e-68	1.1707436003576195e-62	TRUE
OG0001136	OG0001133	116	2.2157925132791768e-68	1.1707436003576195e-62	TRUE
OG0001127	OG0001158	85	9.161961702674826e-68	4.6679576442713315e-62	TRUE
OG0001277	OG0001259	59	9.971118408622192e-68	4.741536355867498e-62	TRUE
OG0000849	OG0000847	68	9.935598646498795e-68	4.741536355867498e-62	TRUE
OG0001485	OG0001478	49	1.859258118251675e-67	8.556072553288401e-62	TRUE
OG0001002	OG0001004	94	3.2350387029059856e-67	1.4422015847919355e-61	TRUE
OG0001258	OG0001164	67	3.661924197701236e-67	1.5830399545676505e-61	TRUE
OG0000810	OG0000788	62	4.547593779210143e-67	1.9080915693819892e-61	TRUE
OG0001259	OG0001268	58	4.8601325901809375e-67	1.9809637990417633e-61	TRUE
OG0001138	OG0001136	117	9.449042372068804e-67	3.7443959058590344e-61	TRUE
OG0000642	OG0000682	53	2.2343018288510152e-66	8.614629083065657e-61	TRUE
OG0000668	OG0000617	52	3.1151936819682753e-66	1.1694937972461451e-60	TRUE
OG0000795	OG0000768	57	3.4878018030591034e-66	1.2758031109718047e-60	TRUE
OG0001049	OG0001060	61	6.55523938443098e-66	2.2808733199524072e-60	TRUE
OG0001444	OG0001472	61	6.55523938443098e-66	2.2808733199524072e-60	TRUE
OG0000760	OG0000751	58	7.440453989804605e-66	2.527240723160676e-60	TRUE
OG0000643	OG0000754	53	2.686212733666987e-65	8.911861200996878e-60	TRUE
OG0001020	OG0001021	45	3.998309036715846e-65	1.296343659940462e-59	TRUE
OG0000694	OG0000693	52	5.6766021384132705e-65	1.7995851828622119e-59	TRUE
OG0000740	OG0000607	52	1.7800009424640616e-64	5.520251527176994e-59	TRUE
OG0001277	OG0001154	61	3.745926485489159e-64	1.1369931757847356e-58	TRUE
OG0000585	OG0000539	48	7.589542633416019e-64	2.2556454330157334e-58	TRUE
OG0001063	OG0001064	48	1.1138825630919313e-63	3.242946555360218e-58	TRUE
OG0001123	OG0001120	51	4.07435017822248e-63	1.1624781918067642e-57	TRUE
OG0000575	OG0000528	46	4.2653417296579655e-63	1.1931089993277182e-57	TRUE
OG0000701	OG0000683	54	5.097496932021495e-63	1.3984601501018942e-57	TRUE
OG0001259	OG0001264	58	8.945528661451697e-63	2.3644597242034272e-57	TRUE
OG0001144	OG0001148	52	8.950127343407609e-63	2.3644597242034272e-57	TRUE
OG0000372	OG0000537	44	9.915806411055295e-63	2.5719458213218757e-57	TRUE
OG0000850	OG0000830	66	1.0715642352770154e-62	2.7297737240752564e-57	TRUE
OG0000922	OG0000907	46	1.86022337607204e-62	4.655718438741342e-57	TRUE
OG0001501	OG0001599	47	9.145037828423956e-62	2.249334159450804e-56	TRUE
OG0000289	OG0000516	43	1.0713382144118444e-61	2.5904251667587877e-56	TRUE
OG0000794	OG0000833	60	1.4037273083892372e-61	3.3375514128365953e-56	TRUE
OG0000723	OG0000711	53	1.8202483580546048e-61	4.256937549027429e-56	TRUE
OG0000350	OG0000582	46	1.8974278435934804e-61	4.3658624198132505e-56	TRUE
OG0000543	OG0000469	43	2.090941786679052e-61	4.7347587842485185e-56	TRUE
OG0001015	OG0001010	96	4.6936116930669853e-61	1.0462215206356818e-55	TRUE
OG0001025	OG0001038	61	5.7246027794649316e-61	1.2373651712412331e-55	TRUE
OG0001177	OG0001173	59	5.6731661280586224e-61	1.2373651712412331e-55	TRUE
OG0000524	OG0000104	51	9.881771905810057e-61	2.1040520948268073e-55	TRUE
OG0000810	OG0000781	60	1.0290222967519132e-60	2.158799647095398e-55	TRUE
OG0000938	OG0000948	70	1.2732455417286382e-60	2.6324464137526615e-55	TRUE
OG0000825	OG0000830	63	1.4049991246137786e-60	2.863350280986516e-55	TRUE
OG0000839	OG0000584	60	1.7758325772067875e-60	3.5681256217006956e-55	TRUE
OG0000821	OG0000788	61	3.217447321813174e-60	6.3749299160337385e-55	TRUE
OG0001259	OG0001154	60	3.647568432295304e-60	7.128153680094673e-55	TRUE
OG0000088	OG0000084	57	1.378229232619651e-59	2.65696726313878e-54	TRUE
OG0000523	OG0000393	42	1.7784214359236617e-59	3.382749877764743e-54	TRUE
OG0000547	OG0000580	47	3.67495027179628e-59	6.898177106821626e-54	TRUE
