OG1	OG2	direction	pvalue	qvalue	signif
OG0001025	OG0001017	99	5.943290903036182e-91	3.1119594177896913e-84	true
OG0001032	OG0001027	104	4.05182576878137e-91	3.1119594177896913e-84	true
OG0001022	OG0001017	98	4.379418435255267e-90	1.5287346877212588e-83	true
OG0001025	OG0001022	100	7.521441242153942e-89	1.9691464115373675e-82	true
OG0001273	OG0001276	74	7.323900443027854e-88	1.533943488917313e-81	true
OG0001166	OG0001169	127	4.68757530190865e-87	8.181518929140087e-81	true
OG0000970	OG0000964	80	2.162784942321488e-85	3.235580652305782e-79	true
OG0001182	OG0001200	74	7.279091980994408e-80	9.528491543145261e-74	true
OG0001023	OG0001017	94	1.849868880470894e-78	2.152461388134907e-72	true
OG0001166	OG0001167	120	3.9553495828768525e-77	4.1421116973412985e-71	true
OG0000880	OG0000884	71	2.4996808049149706e-76	2.3797361211719305e-70	true
OG0001201	OG0001197	69	5.09224531425099e-75	4.4439074305009734e-69	true
OG0001222	OG0001219	64	6.160788271907993e-75	4.962835314012028e-69	true
OG0001169	OG0001167	120	8.302481006200628e-75	6.210360166685005e-69	true
OG0000860	OG0000844	66	1.1244361612883446e-74	7.850195587850621e-69	true
OG0000802	OG0000773	57	4.7651393701893834e-74	3.1188361343220232e-68	true
OG0000839	OG0000858	66	1.0384991548251595e-71	6.3972623089296e-66	true
OG0001489	OG0001483	51	3.719907414547748e-71	2.164195841602721e-65	true
OG0000821	OG0000822	63	4.190173248343704e-71	2.3094858803761567e-65	true
OG0001108	OG0001223	62	8.782083119887237e-71	4.598376003904412e-65	true
OG0001034	OG0001027	98	1.507461718719017e-70	7.517335443660971e-65	true
OG0000772	OG0000726	57	5.173249633095959e-70	2.462508211350741e-64	true
OG0000844	OG0000861	65	1.4922482148686963e-68	6.794385192082959e-63	true
OG0000941	OG0000939	78	1.2849821486801916e-67	5.6068996740988065e-62	true
OG0001315	OG0001292	63	1.4600397946715292e-67	6.115917478721647e-62	true
OG0001104	OG0001172	120	3.018694917254415e-67	1.2158578639920644e-61	true
OG0000822	OG0000839	62	4.027047515897498e-67	1.5619240869200517e-61	true
OG0000792	OG0000825	58	4.3394185245290105e-67	1.6229698045188612e-61	true
OG0000869	OG0000842	69	1.1428703286967191e-66	4.127013526651687e-61	true
OG0000724	OG0000735	51	1.347533782418915e-66	4.7038703118121946e-61	true
OG0001206	OG0001200	70	1.6931840161884655e-66	5.7197809735201483e-61	true
OG0000867	OG0000824	61	1.8146004828927505e-66	5.938379883293085e-61	true
OG0001208	OG0001292	67	2.246692413858687e-66	7.129623750240307e-61	true
OG0000970	OG0000963	73	5.376659746149205e-66	1.656039033934994e-60	true
OG0001083	OG0001073	61	5.816874387377236e-66	1.7404380672716168e-60	true
OG0001158	OG0001204	82	3.2010109705795105e-65	9.311541739399849e-60	true
OG0000769	OG0000770	56	3.299691182138241e-65	9.339174812162085e-60	true
OG0000006	OG0001182	64	9.820344574081595e-65	2.7063257042217766e-59	true
OG0000782	OG0000681	52	1.942414827006517e-64	5.215720495749179e-59	true
OG0001025	OG0001023	90	1.995162045298799e-64	5.223422021722249e-59	true
OG0001086	OG0001085	47	3.945438185043688e-64	1.0077395870950749e-58	true
OG0001022	OG0001023	89	6.90771379394538e-64	1.722352252567232e-58	true
OG0000714	OG0000263	50	1.2096987976865933e-63	2.946088073572651e-58	true
OG0000650	OG0000704	49	1.8868029016193926e-63	4.490666377970219e-58	true
OG0001208	OG0001206	68	2.518130702208176e-63	5.860068423228357e-58	true
OG0000557	OG0000605	46	3.9027007848248383e-63	8.884732498700835e-58	true
OG0000963	OG0000964	71	6.281250708644954e-63	1.3995396366181848e-57	true
OG0000603	OG0000555	47	6.562644554976771e-63	1.4317743501074674e-57	true
OG0000006	OG0001200	64	1.4043466480310118e-62	3.001339849630777e-57	true
OG0000928	OG0001077	57	2.4978981090445456e-62	5.231685725596335e-57	true
OG0000700	OG0000664	51	3.4917174731116484e-62	7.169780376607931e-57	true
OG0000732	OG0000724	50	4.980826121882562e-62	9.659275513657711e-57	true
OG0000732	OG0000735	50	4.980826121882562e-62	9.659275513657711e-57	true
OG0001044	OG0001043	42	4.970774080131672e-62	9.659275513657711e-57	true
OG0000553	OG0000390	43	9.861856391443593e-62	1.8777290148713127e-56	true
OG0001223	OG0001182	61	1.6580171409443103e-61	3.100544162676004e-56	true
OG0000936	OG0000946	45	1.6884363892540008e-61	3.1020356198372642e-56	true
OG0000345	OG0000620	46	1.7360938679829432e-61	3.1346000927651977e-56	true
OG0000518	OG0000565	43	1.9247562465370805e-61	3.416336639124695e-56	true
OG0001197	OG0001195	64	2.2203578822536102e-61	3.8753297543245135e-56	true
OG0000880	OG0000873	65	3.753159215419649e-61	6.443236698343685e-56	true
OG0001315	OG0001208	62	4.505430327462065e-61	7.609945055632319e-56	true
OG0001293	OG0001195	61	5.45994631599124e-61	9.075796630414584e-56	true
OG0001034	OG0001032	94	5.7203444897716044e-61	9.360070980862255e-56	true
OG0000821	OG0000839	60	9.151879638108181e-61	1.4744629892474643e-55	true
OG0000323	OG0000483	42	1.0935702976289673e-60	1.7351607007792314e-55	true
OG0000860	OG0000861	62	1.1613790787836615e-60	1.8152486739910997e-55	true
OG0000442	OG0000469	43	1.5121513133546838e-60	2.3287521606002058e-55	true
OG0000604	OG0000743	49	2.4453163106961668e-60	3.71127286685231e-55	true
OG0000822	OG0000858	61	2.855656118031041e-60	4.272133351928262e-55	true
OG0001045	OG0001060	60	3.049025623482836e-60	4.497173656003097e-55	true
OG0000869	OG0000560	62	5.837177817195347e-60	8.489993534022987e-55	true
OG0001206	OG0001182	66	1.799825382106288e-59	2.5819298863951092e-54	true
OG0001518	OG0001508	46	1.889637115000169e-59	2.674136816812704e-54	true
OG0000750	OG0000751	50	7.925256891943023e-59	1.1065958002352042e-53	true
OG0000628	OG0000532	43	1.7057066814640834e-58	2.350323759561555e-53	true
OG0000146	OG0000439	49	3.329891107583788e-58	4.528728018110697e-53	true
OG0001135	OG0001153	53	1.1106456030804245e-57	1.4911379780877369e-52	true
OG0001057	OG0001045	57	1.613783939053328e-57	2.1392189159164207e-52	true
OG0000608	OG0000576	45	2.851612054626792e-57	3.7328229149716726e-52	true
OG0000504	OG0000495	41	1.1133973507130719e-56	1.4219137822684164e-51	true
OG0000532	OG0000533	41	1.1133973507130719e-56	1.4219137822684164e-51	true
OG0000846	OG0000875	50	1.144837835380284e-56	1.4444510004290798e-51	true
OG0000689	OG0000737	49	1.5104812589888008e-56	1.883098284384798e-51	true
OG0000569	OG0000587	44	2.7117402234779242e-56	3.264117343280477e-51	true
OG0000600	OG0000611	46	2.6744183223239683e-56	3.264117343280477e-51	true
OG0001086	OG0001084	44	2.7117402234779242e-56	3.264117343280477e-51	true
OG0000628	OG0000645	45	2.834605320591791e-56	3.373237023610643e-51	true
OG0000246	OG0000946	45	3.4655022415770873e-56	4.077679708111211e-51	true
OG0000764	OG0000726	52	4.774133854848713e-56	5.555063330614909e-51	true
OG0001728	OG0001729	35	6.925671152647907e-56	7.969983211939753e-51	true
OG0000368	OG0000569	42	7.550239554389035e-56	8.501874995239092e-51	true
OG0000557	OG0000533	42	7.550239554389035e-56	8.501874995239092e-51	true
OG0001201	OG0001195	63	8.920496620531324e-56	9.937979852937153e-51	true
OG0000529	OG0000530	40	1.2369259193078011e-55	1.3635058869424307e-50	true
OG0000796	OG0000838	53	2.4088693690079063e-55	2.6006292776556433e-50	true
OG0000662	OG0000616	45	2.3950164183168268e-55	2.6006292776556433e-50	true
OG0000491	OG0000601	44	2.6416963385536084e-55	2.794374646049391e-50	true
OG0001084	OG0001085	44	2.6416963385536084e-55	2.794374646049391e-50	true
OG0001110	OG0001140	54	3.035942425762401e-55	3.1792923408450796e-50	true
OG0001485	OG0001539	48	3.701046084097113e-55	3.8374263343342345e-50	true
OG0000682	OG0000713	50	3.889605479173526e-55	3.993395406712696e-50	true
OG0000522	OG0000641	43	4.317841192299904e-55	4.390018728719849e-50	true
OG0000668	OG0000711	50	4.3597925514178236e-55	4.390049511724663e-50	true
OG0000540	OG0000702	46	5.113578884357399e-55	5.051914911969276e-50	true
OG0000587	OG0000703	46	5.113578884357399e-55	5.051914911969276e-50	true
OG0000368	OG0000587	42	6.028251696740981e-55	5.8452696982009425e-50	true
OG0000605	OG0000533	42	6.028251696740981e-55	5.8452696982009425e-50	true
OG0000684	OG0000770	50	8.330069392376583e-55	8.003114932952351e-50	true
OG0001223	OG0001200	59	1.2600168950184124e-54	1.1995562443278488e-49	true
OG0000794	OG0001005	57	1.3410666929726138e-54	1.2652149942835294e-49	true
OG0000821	OG0000858	59	1.3819359340923755e-54	1.2921318145124782e-49	true
OG0001051	OG0001072	93	1.538406795100137e-54	1.4257050192818204e-49	true
OG0001073	OG0001077	55	2.4804454384669592e-54	2.2785667710546638e-49	true
OG0000978	OG0000979	43	2.5136440019996032e-54	2.2889845556768868e-49	true
OG0000614	OG0000928	53	2.6291636066020017e-54	2.3735400018216314e-49	true
OG0000619	OG0000601	45	2.898969874437221e-54	2.5727561647291933e-49	true
OG0000742	OG0000677	51	2.8833998901196634e-54	2.5727561647291933e-49	true
OG0000773	OG0000751	49	2.946650077699097e-54	2.5930956490822366e-49	true
OG0000384	OG0000425	36	3.463930544095123e-54	3.0229075257949905e-49	true
OG0000643	OG0000546	42	4.211418224979512e-54	3.644852302610996e-49	true
OG0000462	OG0000478	41	6.133582637876976e-54	5.264914499540325e-49	true
OG0001293	OG0001197	57	6.329504173684395e-54	5.388917211346142e-49	true
OG0000415	OG0000350	36	6.732552445735273e-54	5.685844688787921e-49	true
OG0001023	OG0001027	85	1.0293221693121215e-53	8.59139000147075e-49	true
OG0000455	OG0000536	39	1.0337060226884217e-53	8.59139000147075e-49	true
OG0000339	OG0000449	38	1.125039826575442e-53	9.27686226055709e-49	true
OG0000931	OG0000633	45	1.1646032195611788e-53	9.309870141535349e-49	true
OG0000795	OG0000773	51	1.153673906113882e-53	9.309870141535349e-49	true
