OG1	OG2	direction	pvalue	qvalue	signif
OG0001025	OG0001022	101	1.3270595273068387e-90	1.3897200932434022e-83	TRUE
OG0001022	OG0001017	96	1.6558463915812658e-84	6.416499705582105e-78	TRUE
OG0000970	OG0000964	77	1.9882545352109112e-84	6.416499705582105e-78	TRUE
OG0001169	OG0001167	122	2.4508754266857645e-84	6.416499705582105e-78	TRUE
OG0001023	OG0001017	97	1.7378722945951704e-83	3.639860906904894e-77	TRUE
OG0001273	OG0001276	70	9.504148784270717e-82	1.65881864665115e-75	TRUE
OG0001222	OG0001219	67	2.729345073215632e-80	4.083168853063854e-74	TRUE
OG0001166	OG0001169	122	1.2389651420337744e-79	1.621832628155335e-73	TRUE
OG0001104	OG0001172	124	6.168265105579027e-79	7.177239755586906e-73	TRUE
OG0001032	OG0001027	99	2.5356146261125133e-78	2.6553402632824435e-72	TRUE
OG0001201	OG0001197	70	3.2985749597207534e-78	3.1402961388535123e-72	TRUE
OG0001182	OG0001200	72	4.899185021710694e-76	4.275427316993184e-70	TRUE
OG0000869	OG0000842	68	4.146485288990982e-75	3.3402095175172644e-69	TRUE
OG0001025	OG0001017	93	2.0700559376016192e-74	1.5484278648863695e-68	TRUE
OG0000802	OG0000773	57	4.765139370189383e-74	3.326758543276825e-68	TRUE
OG0001166	OG0001167	116	6.672069525784192e-74	4.3669428973905375e-68	TRUE
OG0001034	OG0001027	99	1.915518028680257e-73	1.179978936912512e-67	TRUE
OG0001158	OG0001204	87	2.103496669213184e-72	1.2237881853007914e-66	TRUE
OG0001489	OG0001483	51	3.719907414547748e-71	2.050290797307841e-65	TRUE
OG0000844	OG0000861	64	4.463482951161183e-71	2.337118951877966e-65	TRUE
OG0000860	OG0000844	63	4.7785928329249205e-70	2.382965008510874e-64	TRUE
OG0001032	OG0001017	92	6.678167778615698e-70	3.1788612879633013e-64	TRUE
OG0000839	OG0000858	65	1.0839832005429854e-69	4.935505590056278e-64	TRUE
OG0001206	OG0001200	70	2.506402254323275e-68	1.093645230586254e-62	TRUE
OG0001083	OG0001073	63	9.760129009264914e-67	4.088391550709113e-61	TRUE
OG0000970	OG0000963	71	2.5995574152981594e-66	1.0470393375041311e-60	TRUE
OG0000880	OG0000884	61	2.974287922898007e-66	1.1536024667874947e-60	TRUE
OG0001025	OG0001027	92	1.7125179879073825e-65	6.404924918761421e-60	TRUE
OG0000714	OG0000263	49	1.9844645882999097e-65	7.166090494635929e-60	TRUE
OG0001197	OG0001195	65	1.0511576511622194e-64	3.669302642239122e-59	TRUE
OG0000769	OG0000770	54	1.5865472698444285e-64	5.359549110364628e-59	TRUE
OG0000732	OG0000735	51	4.3222453824277944e-64	1.414478573749099e-58	TRUE
OG0001108	OG0001223	58	5.0057319921927345e-64	1.5885123160931195e-58	TRUE
OG0000772	OG0000726	53	5.373290524974525e-64	1.6550012963725184e-58	TRUE
OG0000821	OG0000822	58	7.598055317928967e-64	2.2733763584882315e-58	TRUE
OG0001022	OG0001023	90	9.332674744653945e-64	2.714817013243643e-58	TRUE
OG0001208	OG0001206	68	2.518130702208176e-63	7.127110244466921e-58	TRUE
OG0000928	OG0001077	58	3.695649597653005e-63	1.0184603426566171e-57	TRUE
OG0000682	OG0000713	53	9.90861673202042e-63	2.6606353419041707e-57	TRUE
OG0000936	OG0000946	46	1.702052811747984e-62	4.4560491514799394e-57	TRUE
OG0000006	OG0001182	62	1.8312630791880375e-62	4.6773925042826995e-57	TRUE
OG0000867	OG0000824	61	2.045916231287577e-62	5.101236870309574e-57	TRUE
OG0001022	OG0001032	90	2.1552159341945196e-62	5.248790832764983e-57	TRUE
OG0000963	OG0000964	69	2.281399176894159e-62	5.429821296975174e-57	TRUE
OG0000557	OG0000605	45	3.947025734671906e-62	9.185321815558557e-57	TRUE
OG0001025	OG0001032	91	4.283950721329817e-62	9.752670854150609e-57	TRUE
OG0001223	OG0001182	60	4.861668385494869e-62	1.0832392975859173e-56	TRUE
OG0001044	OG0001043	42	4.970774080131672e-62	1.0844754379870205e-56	TRUE
OG0000553	OG0000390	43	9.861856391443593e-62	2.1076550166922898e-56	TRUE
