Orthogroup,COG_ID,COG_NAME,Specific_COG_Count,Rate
OG0000937,NA,No Annotation,398,0.9149425287356322
OG0000937,COG5633,Uncharacterized conserved protein YcfL,19,0.04367816091954023
OG0000937,COG3417,"Outer membrane lipoprotein LpoB, binds and activates PBP1b",9,0.020689655172413793
OG0000937,COG0252,L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D,2,0.004597701149425287
OG0000937,COG4782,Esterase/lipase superfamily enzyme,2,0.004597701149425287
OG0000937,COG0095,Lipoate-protein ligase A,1,0.0022988505747126436
OG0000937,COG0803,"ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA",1,0.0022988505747126436
OG0000937,COG3895,Membrane-bound inhibitor of C-type lysozyme,1,0.0022988505747126436
OG0000937,COG4594,"ABC-type Fe3+-citrate transport system, periplasmic component",1,0.0022988505747126436
OG0000937,COG4717,"Predicted ATPase SbcE/YhaN involved in DNA double-strand break repair, contains AAA domain",1,0.0022988505747126436
