OG_ID	ko_best	ko_best_definition	ko_support	n_genes	ko_rate
OG0000000	K02000	glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]	839	1797	0.46688925987757374
OG0000000	K02003	putative ABC transport system ATP-binding protein	310	1797	0.17250973845297718
OG0000000	K02041	phosphonate transport system ATP-binding protein [EC:7.3.2.2]	72	1797	0.04006677796327212
OG0000000	K24846	ATP-binding cassette, subfamily B, bacterial PglK [EC:7.5.2.-]	1	1797	5.564830272676684e-4
OG0000001	K02049	NitT/TauT family transport system ATP-binding protein	2	1548	0.0012919896640826874
OG0000001	K10111	multiple sugar transport system ATP-binding protein [EC:7.5.2.-]	110	1548	0.0710594315245478
OG0000001	K10112	multiple sugar transport system ATP-binding protein [EC:7.5.2.-]	93	1548	0.060077519379844964
OG0000001	K10831	taurine transport system ATP-binding protein [EC:7.6.2.7]	414	1548	0.26744186046511625
OG0000001	K17324	glycerol transport system ATP-binding protein	249	1548	0.16085271317829458
OG0000001	K17325	glycerol transport system ATP-binding protein	253	1548	0.16343669250645995
OG0000002	K02026	multiple sugar transport system permease protein	239	1520	0.15723684210526315
OG0000002	K02053	putative spermidine/putrescine transport system permease protein	438	1520	0.2881578947368421
OG0000002	K05815	sn-glycerol 3-phosphate transport system permease protein	29	1520	0.019078947368421053
OG0000002	K10229	polyol transport system permease protein	18	1520	0.011842105263157895
OG0000002	K11070	spermidine/putrescine transport system permease protein	4	1520	0.002631578947368421
OG0000002	K17317	glucose/mannose transport system permease protein	101	1520	0.06644736842105263
OG0000002	K17323	glycerol transport system permease protein	76	1520	0.05
OG0000003	K15270	S-adenosylmethionine uptake transporter	1213	1224	0.9910130718954249
OG0000004	K00303	sarcosine oxidase, subunit beta [EC:1.5.3.24 1.5.3.1]	441	1180	0.373728813559322
OG0000004	K22084	methylglutamate dehydrogenase subunit A [EC:1.5.99.5]	352	1180	0.2983050847457627
OG0000005	K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	1011	1174	0.8611584327086882
OG0000005	K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	3	1174	0.002555366269165247
OG0000005	K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	145	1174	0.12350936967632027
OG0000006	K02456	general secretion pathway protein G	2	1150	0.0017391304347826088
OG0000006	K02650	type IV pilus assembly protein PilA	76	1150	0.06608695652173913
OG0000007	K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	1	1138	8.787346221441124e-4
OG0000007	K03331	L-xylulose reductase [EC:1.1.1.10]	438	1138	0.38488576449912126
OG0000007	K05296	3(or 17)beta-hydroxysteroid dehydrogenase [EC:1.1.1.51]	21	1138	0.01845342706502636
OG0000008	K00542	guanidinoacetate N-methyltransferase [EC:2.1.1.2]	1	1109	9.017132551848512e-4
OG0000008	K00568	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]	244	1109	0.2200180342651037
OG0000008	K00591	polyprenyldihydroxybenzoate methyltransferase / 3-demethylubiquinol 3-O-methyltransferase [EC:2.1.1.114 2.1.1.64]	4	1109	0.0036068530207394047
OG0000008	K15257	tRNA (mo5U34)-methyltransferase [EC:2.1.1.-]	2	1109	0.0018034265103697023
OG0000009	K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	7	1053	0.006647673314339981
OG0000009	K00344	NADPH:quinone reductase [EC:1.6.5.5]	525	1053	0.4985754985754986
OG0000009	K14446	crotonyl-CoA carboxylase/reductase [EC:1.3.1.85]	1	1053	9.49667616334283e-4
OG0000009	K18382	NAD+-dependent secondary alcohol dehydrogenase Adh1 [EC:1.1.1.-]	177	1053	0.16809116809116809
OG0000010	K03208	putative colanic acid biosynthesis glycosyltransferase WcaI	8	1049	0.0076263107721639654
OG0000010	K15914	N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase [EC:2.4.1.290]	1	1049	9.532888465204957e-4
OG0000011	K00018	glycerate dehydrogenase [EC:1.1.1.29]	22	1043	0.02109300095877277
OG0000011	K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	63	1043	0.06040268456375839
OG0000011	K16843	(S)-sulfolactate dehydrogenase [EC:1.1.1.310]	1	1043	9.587727708533077e-4
OG0000012	K01649	2-isopropylmalate synthase [EC:2.3.3.13]	967	1002	0.9650698602794411
OG0000013	K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	86	986	0.0872210953346856
OG0000013	K13016	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase [EC:1.1.1.335]	2	986	0.002028397565922921
OG0000013	K13020	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase [EC:1.1.1.335]	22	986	0.02231237322515213
OG0000014	K01652	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	3	982	0.003054989816700611
OG0000014	K03336	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing) [EC:3.7.1.22]	280	982	0.285132382892057
OG0000014	K03852	sulfoacetaldehyde acetyltransferase [EC:2.3.3.15]	446	982	0.45417515274949083
OG0000016	K02025	multiple sugar transport system permease protein	54	959	0.056308654848800835
