genome_type	family	genus	subclade	COG_hit	KO_hit	Pfam_hit	annotation_combination	n_proteins
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	TRUE	TRUE	TRUE	COG + KO + Pfam	699
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	TRUE	FALSE	TRUE	COG + Pfam	288
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	FALSE	FALSE	FALSE	No annotation	101
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	FALSE	FALSE	TRUE	Pfam only	33
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	TRUE	FALSE	FALSE	COG only	24
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	FALSE	TRUE	TRUE	KO + Pfam	12
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	TRUE	TRUE	FALSE	COG + KO	8
Isolate	Fontibacteriaceae	NA	IIIa.3	TRUE	TRUE	TRUE	COG + KO + Pfam	1600
Isolate	Fontibacteriaceae	NA	IIIa.3	TRUE	FALSE	TRUE	COG + Pfam	730
Isolate	Fontibacteriaceae	NA	IIIa.3	FALSE	FALSE	FALSE	No annotation	223
Isolate	Fontibacteriaceae	NA	IIIa.3	FALSE	FALSE	TRUE	Pfam only	79
Isolate	Fontibacteriaceae	NA	IIIa.3	TRUE	FALSE	FALSE	COG only	76
Isolate	Fontibacteriaceae	NA	IIIa.3	FALSE	TRUE	TRUE	KO + Pfam	20
Isolate	Fontibacteriaceae	NA	IIIa.3	TRUE	TRUE	FALSE	COG + KO	16
Isolate	Fontibacteriaceae	NA	IIIa.3	FALSE	TRUE	FALSE	KO only	3
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	TRUE	TRUE	TRUE	COG + KO + Pfam	4569
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	TRUE	FALSE	TRUE	COG + Pfam	2000
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	FALSE	FALSE	FALSE	No annotation	599
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	FALSE	FALSE	TRUE	Pfam only	222
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	TRUE	FALSE	FALSE	COG only	171
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	FALSE	TRUE	TRUE	KO + Pfam	70
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	TRUE	TRUE	FALSE	COG + KO	51
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	FALSE	TRUE	FALSE	KO only	1
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.16	TRUE	TRUE	TRUE	COG + KO + Pfam	778
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.16	TRUE	FALSE	TRUE	COG + Pfam	285
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.16	FALSE	FALSE	FALSE	No annotation	83
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.16	FALSE	FALSE	TRUE	Pfam only	49
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.16	TRUE	FALSE	FALSE	COG only	21
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.16	FALSE	TRUE	TRUE	KO + Pfam	11
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.16	FALSE	TRUE	FALSE	KO only	2
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.16	TRUE	TRUE	FALSE	COG + KO	2
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.8	TRUE	TRUE	TRUE	COG + KO + Pfam	3772
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.8	TRUE	FALSE	TRUE	COG + Pfam	1285
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.8	FALSE	FALSE	FALSE	No annotation	414
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.8	FALSE	FALSE	TRUE	Pfam only	202
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.8	TRUE	FALSE	FALSE	COG only	129
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.8	FALSE	TRUE	TRUE	KO + Pfam	26
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.8	TRUE	TRUE	FALSE	COG + KO	13
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.8	FALSE	TRUE	FALSE	KO only	5
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.9	TRUE	TRUE	TRUE	COG + KO + Pfam	1498
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.9	TRUE	FALSE	TRUE	COG + Pfam	516
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.9	FALSE	FALSE	FALSE	No annotation	163
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.9	FALSE	FALSE	TRUE	Pfam only	81
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.9	TRUE	FALSE	FALSE	COG only	47
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.9	FALSE	TRUE	TRUE	KO + Pfam	14
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.9	TRUE	TRUE	FALSE	COG + KO	7
Isolate	Fontibacteriaceae	Fontibacterium	IIIb.9	FALSE	TRUE	FALSE	KO only	2
Isolate	Pelagibacteraceae	NA	NA	TRUE	TRUE	TRUE	COG + KO + Pfam	819
Isolate	Pelagibacteraceae	NA	NA	TRUE	FALSE	TRUE	COG + Pfam	353
Isolate	Pelagibacteraceae	NA	NA	FALSE	FALSE	FALSE	No annotation	134
Isolate	Pelagibacteraceae	NA	NA	FALSE	FALSE	TRUE	Pfam only	43
Isolate	Pelagibacteraceae	NA	NA	TRUE	FALSE	FALSE	COG only	31
Isolate	Pelagibacteraceae	NA	NA	FALSE	TRUE	TRUE	KO + Pfam	10
Isolate	Pelagibacteraceae	NA	NA	TRUE	TRUE	FALSE	COG + KO	4
Isolate	Pelagibacteraceae	NA	NA	FALSE	TRUE	FALSE	KO only	1
Isolate	Pelagibacteraceae	Accedentipelagibacter	Ia.3.IV	TRUE	TRUE	TRUE	COG + KO + Pfam	1694
Isolate	Pelagibacteraceae	Accedentipelagibacter	Ia.3.IV	TRUE	FALSE	TRUE	COG + Pfam	733
Isolate	Pelagibacteraceae	Accedentipelagibacter	Ia.3.IV	FALSE	FALSE	FALSE	No annotation	241
Isolate	Pelagibacteraceae	Accedentipelagibacter	Ia.3.IV	FALSE	FALSE	TRUE	Pfam only	89
Isolate	Pelagibacteraceae	Accedentipelagibacter	Ia.3.IV	TRUE	FALSE	FALSE	COG only	67
Isolate	Pelagibacteraceae	Accedentipelagibacter	Ia.3.IV	FALSE	TRUE	TRUE	KO + Pfam	19
Isolate	Pelagibacteraceae	Accedentipelagibacter	Ia.3.IV	TRUE	TRUE	FALSE	COG + KO	18
Isolate	Pelagibacteraceae	Accedentipelagibacter	Ia.3.IV	FALSE	TRUE	FALSE	KO only	3
Isolate	Pelagibacteraceae	Alipelagibacter	Ia.4.N1	TRUE	TRUE	TRUE	COG + KO + Pfam	790
Isolate	Pelagibacteraceae	Alipelagibacter	Ia.4.N1	TRUE	FALSE	TRUE	COG + Pfam	310
Isolate	Pelagibacteraceae	Alipelagibacter	Ia.4.N1	FALSE	FALSE	FALSE	No annotation	80
Isolate	Pelagibacteraceae	Alipelagibacter	Ia.4.N1	FALSE	FALSE	TRUE	Pfam only	43
Isolate	Pelagibacteraceae	Alipelagibacter	Ia.4.N1	TRUE	FALSE	FALSE	COG only	35
Isolate	Pelagibacteraceae	Alipelagibacter	Ia.4.N1	TRUE	TRUE	FALSE	COG + KO	8
Isolate	Pelagibacteraceae	Alipelagibacter	Ia.4.N1	FALSE	TRUE	TRUE	KO + Pfam	7
Isolate	Pelagibacteraceae	Alipelagibacter	Ia.4.N1	FALSE	TRUE	FALSE	KO only	1
Isolate	Pelagibacteraceae	Atlantikopelagibacter	Ia.3.I	TRUE	TRUE	TRUE	COG + KO + Pfam	2628
Isolate	Pelagibacteraceae	Atlantikopelagibacter	Ia.3.I	TRUE	FALSE	TRUE	COG + Pfam	1186
Isolate	Pelagibacteraceae	Atlantikopelagibacter	Ia.3.I	FALSE	FALSE	FALSE	No annotation	345
Isolate	Pelagibacteraceae	Atlantikopelagibacter	Ia.3.I	FALSE	FALSE	TRUE	Pfam only	143
Isolate	Pelagibacteraceae	Atlantikopelagibacter	Ia.3.I	TRUE	FALSE	FALSE	COG only	103
Isolate	Pelagibacteraceae	Atlantikopelagibacter	Ia.3.I	TRUE	TRUE	FALSE	COG + KO	32
Isolate	Pelagibacteraceae	Atlantikopelagibacter	Ia.3.I	FALSE	TRUE	TRUE	KO + Pfam	24
Isolate	Pelagibacteraceae	Atlantikopelagibacter	Ia.3.I	FALSE	TRUE	FALSE	KO only	6
Isolate	Pelagibacteraceae	Coralipelagibacter	Ia.3.II	TRUE	TRUE	TRUE	COG + KO + Pfam	5774
Isolate	Pelagibacteraceae	Coralipelagibacter	Ia.3.II	TRUE	FALSE	TRUE	COG + Pfam	2448
Isolate	Pelagibacteraceae	Coralipelagibacter	Ia.3.II	FALSE	FALSE	FALSE	No annotation	803
Isolate	Pelagibacteraceae	Coralipelagibacter	Ia.3.II	FALSE	FALSE	TRUE	Pfam only	339
Isolate	Pelagibacteraceae	Coralipelagibacter	Ia.3.II	TRUE	FALSE	FALSE	COG only	275
Isolate	Pelagibacteraceae	Coralipelagibacter	Ia.3.II	FALSE	TRUE	TRUE	KO + Pfam	88
Isolate	Pelagibacteraceae	Coralipelagibacter	Ia.3.II	TRUE	TRUE	FALSE	COG + KO	51
Isolate	Pelagibacteraceae	Coralipelagibacter	Ia.3.II	FALSE	TRUE	FALSE	KO only	9
Isolate	Pelagibacteraceae	Lacunipelagibacter	Ia.4.II	TRUE	TRUE	TRUE	COG + KO + Pfam	6759
Isolate	Pelagibacteraceae	Lacunipelagibacter	Ia.4.II	TRUE	FALSE	TRUE	COG + Pfam	2780
Isolate	Pelagibacteraceae	Lacunipelagibacter	Ia.4.II	FALSE	FALSE	FALSE	No annotation	933
Isolate	Pelagibacteraceae	Lacunipelagibacter	Ia.4.II	FALSE	FALSE	TRUE	Pfam only	349
Isolate	Pelagibacteraceae	Lacunipelagibacter	Ia.4.II	TRUE	FALSE	FALSE	COG only	251
Isolate	Pelagibacteraceae	Lacunipelagibacter	Ia.4.II	FALSE	TRUE	TRUE	KO + Pfam	70
Isolate	Pelagibacteraceae	Lacunipelagibacter	Ia.4.II	TRUE	TRUE	FALSE	COG + KO	56
Isolate	Pelagibacteraceae	Lacunipelagibacter	Ia.4.II	FALSE	TRUE	FALSE	KO only	22
Isolate	Pelagibacteraceae	Litoralipelagibacter	Ia.3.III	TRUE	TRUE	TRUE	COG + KO + Pfam	4149
Isolate	Pelagibacteraceae	Litoralipelagibacter	Ia.3.III	TRUE	FALSE	TRUE	COG + Pfam	1854
Isolate	Pelagibacteraceae	Litoralipelagibacter	Ia.3.III	FALSE	FALSE	FALSE	No annotation	511
Isolate	Pelagibacteraceae	Litoralipelagibacter	Ia.3.III	FALSE	FALSE	TRUE	Pfam only	246
Isolate	Pelagibacteraceae	Litoralipelagibacter	Ia.3.III	TRUE	FALSE	FALSE	COG only	166
Isolate	Pelagibacteraceae	Litoralipelagibacter	Ia.3.III	FALSE	TRUE	TRUE	KO + Pfam	55
Isolate	Pelagibacteraceae	Litoralipelagibacter	Ia.3.III	TRUE	TRUE	FALSE	COG + KO	38
