genome_type	family	genus	subclade	n_genomes	n_orthogroups
All	NA	NA	All	24	1808
All	NA	NA	IV	24	1808
All	NA	All	All	24	1808
All	NA	All	IV	24	1808
All	All	NA	NA	84	2757
All	All	NA	All	117	3558
All	All	NA	II	2	1107
All	All	NA	IIIa.2	3	1420
All	All	NA	IIIa.3	2	1380
All	All	NA	IV	24	1808
All	All	NA	Ic	2	1457
All	All	Accedentipelagibacter	All	6	1660
All	All	Accedentipelagibacter	Ia.3.IV	6	1660
All	All	Alipelagibacter	All	1	1226
All	All	Alipelagibacter	Ia.4.N1	1	1226
All	All	All	NA	86	2768
All	All	All	All	542	4577
All	All	All	II	52	2066
All	All	All	IIIa.1	9	1578
All	All	All	IIIa.2	3	1420
All	All	All	IIIa.3	2	1380
All	All	All	IIIb.16	1	1135
All	All	All	IIIb.8	5	1241
All	All	All	IIIb.9	2	1169
All	All	All	IV	24	1808
All	All	All	Ia.1.I	23	2144
All	All	All	Ia.3.I	4	1579
All	All	All	Ia.3.II	7	1543
All	All	All	Ia.3.III	5	1500
All	All	All	Ia.3.IV	6	1660
All	All	All	Ia.3.V	52	2326
All	All	All	Ia.3.VI	53	2438
All	All	All	Ia.3.VII	32	1983
All	All	All	Ia.4.II	23	1712
All	All	All	Ia.4.N1	1	1226
All	All	All	Ia.4.N2	7	1432
All	All	All	Ia.4.N3	10	1423
All	All	All	Ia.4.N4	3	1319
All	All	All	Ia.4.N5	22	1664
All	All	All	Ia.4.N6	4	1364
All	All	All	Ib.1	8	1546
All	All	All	Ib.1.III	47	2089
All	All	All	Ib.2.I	14	1676
All	All	All	Ib.2.N7	5	1461
All	All	All	Ib.2.N9	4	1254
All	All	All	Ib.4.I	3	1247
All	All	All	Ib.4.N8	9	1398
All	All	All	Ib.4.N9	1	1125
All	All	All	Ib.N10	6	1379
All	All	All	Ib.N11	5	1357
All	All	All	Ib.N7	1	1272
All	All	All	Ic	3	1549
All	All	Amplipelagibacter	NA	2	1180
All	All	Amplipelagibacter	All	7	1331
All	All	Amplipelagibacter	Ib.2.N9	4	1254
All	All	Amplipelagibacter	Ib.4.N9	1	1125
All	All	Angustipelagibacter	All	32	1983
All	All	Angustipelagibacter	Ia.3.VII	32	1983
All	All	Anoxypelagibacter	All	15	1605
All	All	Anoxypelagibacter	II	15	1605
All	All	Atlantikopelagibacter	All	4	1579
All	All	Atlantikopelagibacter	Ia.3.I	4	1579
All	All	Colligatipelagibacter	All	4	1364
All	All	Colligatipelagibacter	Ia.4.N6	4	1364
All	All	Copipelagibacter	All	47	2089
All	All	Copipelagibacter	Ib.1.III	47	2089
All	All	Coralipelagibacter	All	7	1543
All	All	Coralipelagibacter	Ia.3.II	7	1543
All	All	Cosmipelagibacter	All	35	1848
All	All	Cosmipelagibacter	II	35	1848
All	All	Elongatipelagibacter	All	9	1578
All	All	Elongatipelagibacter	IIIa.1	9	1578
All	All	Extensipelagibacter	All	3	1247
All	All	Extensipelagibacter	Ib.4.I	3	1247
All	All	Fontibacterium	All	8	1362
All	All	Fontibacterium	IIIb.16	1	1135
All	All	Fontibacterium	IIIb.8	5	1241
All	All	Fontibacterium	IIIb.9	2	1169
All	All	Fusipelagibacter	All	6	1379
All	All	Fusipelagibacter	Ib.N10	6	1379
All	All	Lacunipelagibacter	All	23	1712
All	All	Lacunipelagibacter	Ia.4.II	23	1712
All	All	Litoralipelagibacter	All	5	1500
All	All	Litoralipelagibacter	Ia.3.III	5	1500
All	All	Medipelagibacter	All	9	1398
All	All	Medipelagibacter	Ib.4.N8	9	1398
All	All	Mesopelagibacter	All	1	1071
All	All	Mesopelagibacter	Ic	1	1071
All	All	Pantolocipelagibacter	All	7	1432
All	All	Pantolocipelagibacter	Ia.4.N2	7	1432
All	All	Parvipelagibacter	All	6	1562
All	All	Parvipelagibacter	Ib.2.N7	5	1461
All	All	Parvipelagibacter	Ib.N7	1	1272
All	All	Pelagibacter	All	23	2144
All	All	Pelagibacter	Ia.1.I	23	2144
All	All	Proventipelagibacter	All	10	1423
All	All	Proventipelagibacter	Ia.4.N3	10	1423
All	All	Punctipelagibacter	All	3	1319
All	All	Punctipelagibacter	Ia.4.N4	3	1319
All	All	Rubripelagibacter	All	5	1357
All	All	Rubripelagibacter	Ib.N11	5	1357
All	All	Stellipelagibacter	All	14	1676
All	All	Stellipelagibacter	Ib.2.I	14	1676
All	All	Superipelagibacter	All	8	1546
All	All	Superipelagibacter	Ib.1	8	1546
All	All	Tantillipelagibacter	All	22	1664
All	All	Tantillipelagibacter	Ia.4.N5	22	1664
All	All	Undatipelagibacter	All	53	2438
All	All	Undatipelagibacter	Ia.3.VI	53	2438
All	All	Xanthinipelagibacter	All	52	2326
All	All	Xanthinipelagibacter	Ia.3.V	52	2326
All	Cosmipelagibacteraceae	NA	All	2	1107
All	Cosmipelagibacteraceae	NA	II	2	1107
All	Cosmipelagibacteraceae	All	All	52	2066
All	Cosmipelagibacteraceae	All	II	52	2066
All	Cosmipelagibacteraceae	Anoxypelagibacter	All	15	1605
All	Cosmipelagibacteraceae	Anoxypelagibacter	II	15	1605
All	Cosmipelagibacteraceae	Cosmipelagibacter	All	35	1848
All	Cosmipelagibacteraceae	Cosmipelagibacter	II	35	1848
