genome_type	family	genus	subclade	annotation_combination	length_bin_start	length_bin_end	n_proteins
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO	75	100	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO	150	175	3
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO	350	375	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO	375	400	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO	575	600	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	25	50	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	50	75	8
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	75	100	23
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	100	125	26
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	125	150	39
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	150	175	41
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	175	200	47
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	200	225	35
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	225	250	44
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	250	275	50
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	275	300	43
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	300	325	32
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	325	350	40
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	350	375	41
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	375	400	23
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	400	425	22
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	425	450	38
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	450	475	25
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	475	500	20
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	500	525	12
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	525	550	4
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	550	575	8
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	575	600	9
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	600	625	10
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	625	650	12
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	650	675	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	675	700	8
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	700	725	5
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	725	750	4
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	750	775	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	775	800	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	800	825	3
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	825	850	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	850	875	3
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	875	900	4
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	900	925	3
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	950	975	3
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	1025	1050	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	1075	1100	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	1125	1150	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	1350	1375	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	1375	1400	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + KO + Pfam	1475	1500	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	50	75	7
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	75	100	17
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	100	125	15
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	125	150	16
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	150	175	23
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	175	200	21
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	200	225	22
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	225	250	23
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	250	275	26
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	275	300	20
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	300	325	25
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	325	350	11
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	350	375	6
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	375	400	12
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	400	425	13
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	425	450	6
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	450	475	4
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	475	500	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	525	550	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	550	575	3
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	575	600	4
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	600	625	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	675	700	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	700	725	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	775	800	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	800	825	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	875	900	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	1025	1050	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	1725	1750	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	75	100	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	100	125	3
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	125	150	6
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	150	175	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	175	200	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	200	225	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	250	275	1
