genome	freel_family	freel_genus	freel_species	species_full_name	species_type_genome	species_reference_genome	species_assignment_source	species_tree_node	species_tree_ufboot
AAA795-A20	Pelagibacteraceae	Xanthinipelagibacter	aumoanae	Xanthinipelagibacter aumoanae	HIMB083	HIMB083	Freel et al. 2025 genome	NA	NA
AG-359-C09	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
AG-359-D09	Pelagibacteraceae	Punctipelagibacter	variabilis	Punctipelagibacter variabilis	AG-359-D09	AG-359-D09	Freel et al. 2025 Type Strains	NA	NA
AG-359-M21	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
AG-414-O11	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
AG-426-E17	Pelagibacteraceae	Extensipelagibacter	unicus	Extensipelagibacter unicus	AG-426-E17	AG-426-E17	Freel et al. 2025 Type Strains	NA	NA
AG-426-F15	Pelagibacteraceae	Parvipelagibacter	dignotus	Parvipelagibacter dignotus	AG-426-F15	AG-426-F15	Freel et al. 2025 Type Strains	NA	NA
AG-430-E20	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 Type Strains	NA	NA
AG-430-F16	Pelagibacteraceae	Amplipelagibacter	globalis	Amplipelagibacter globalis	AG-430-F16	AG-430-F16	Freel et al. 2025 Type Strains	NA	NA
AG-892-F15	Pelagibacteraceae	Copipelagibacter	splendidus	Copipelagibacter splendidus	AG-892-F15	AG-892-F15	Freel et al. 2025 Type Strains	NA	NA
AG-893-F11	Pelagibacteraceae	Proventipelagibacter	oceanicus	Proventipelagibacter oceanicus	AG-893-F11	AG-893-F11	Freel et al. 2025 Type Strains	NA	NA
AG-893-K09	Pelagibacteraceae	Medipelagibacter	bermudensis	Medipelagibacter bermudensis	AG-893-K09	AG-893-K09	Freel et al. 2025 Type Strains	NA	NA
AG-893-L13	Pelagibacteraceae	Fusipelagibacter	tranquillus	Fusipelagibacter tranquillus	AG-905-M05	AG-905-M05	Freel et al. 2025 genome	NA	NA
AG-894-C14	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
AG-894-F15	Pelagibacteraceae	Copipelagibacter	splendidus	Copipelagibacter splendidus	AG-892-F15	AG-892-F15	Freel et al. 2025 genome	NA	NA
AG-895-K10	Pelagibacteraceae	Colligatipelagibacter	wilhelmii	Colligatipelagibacter wilhelmii	AG-895-K10	AG-895-K10	Freel et al. 2025 Type Strains	NA	NA
AG-898-G21	Pelagibacteraceae	Copipelagibacter	splendidus	Copipelagibacter splendidus	AG-892-F15	AG-892-F15	Freel et al. 2025 genome	NA	NA
AG-899-M19	Pelagibacteraceae	Fusipelagibacter	tranquillus	Fusipelagibacter tranquillus	AG-905-M05	AG-905-M05	Freel et al. 2025 genome	NA	NA
AG-899-N21	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
AG-901-I21	Pelagibacteraceae	Medipelagibacter	bermudensis	Medipelagibacter bermudensis	AG-893-K09	AG-893-K09	Freel et al. 2025 genome	NA	NA
AG-903-D02	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
AG-904-F17	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
AG-905-M05	Pelagibacteraceae	Fusipelagibacter	tranquillus	Fusipelagibacter tranquillus	AG-905-M05	AG-905-M05	Freel et al. 2025 Type Strains	NA	NA
AG-912-F16	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
AG-913-A04	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
AG-913-C03	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
AG-915-K13	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
