freel_family	freel_genus	freel_species	freel_taxonomic_subclade	type_material	type_accession	type_genome	freel_species_full
Pelagibacteraceae	Xanthinipelagibacter	aumoanae	Ia.3.V	HIMB83	GCA_000504225.1	HIMB083	Xanthinipelagibacter aumoanae
Pelagibacteraceae	Undatipelagibacter	huakaii	Ia.3.VI	HIMB1556	JBNAJE000000000	HIMB1556	Undatipelagibacter huakaii
Pelagibacteraceae	Angustipelagibacter	atlanticus	Ia.3.VII	GCA_902580005.1	GCA_902580005.1	AG-430-E20	Angustipelagibacter atlanticus
Pelagibacteraceae	Accedentipelagibacter	yaqonii	Ia.3.IV	HTCC8051	GCA_000472605.1	HTCC8051	Accedentipelagibacter yaqonii
Pelagibacteraceae	Atlantikopelagibacter	sargassoseensis	Ia.3.I	HTCC7211	GCF_000155895.1	HTCC7211	Atlantikopelagibacter sargassoseensis
Pelagibacteraceae	Punctipelagibacter	variabilis	Ia.4.N4	GCA_902540275.1	GCA_902540275.1	AG-359-D09	Punctipelagibacter variabilis
Pelagibacteraceae	Alipelagibacter	loemeaikii	Ia.4.N1	HIMB1483	JBNAIM000000000	HIMB1483	Alipelagibacter loemeaikii
Pelagibacteraceae	Lacunipelagibacter	aumakalihii	Ia.4.II	HIMB1437	JBNGZD000000000	HIMB1437	Lacunipelagibacter aumakalihii
Pelagibacteraceae	Proventipelagibacter	oceanicus	Ia.4.N3	GCA_902621345.1	GCA_902621345.1	AG-893-F11	Proventipelagibacter oceanicus
Pelagibacteraceae	Colligatipelagibacter	wilhelmii	Ia.4.N6	GCA_902524535.1	GCA_902524535.1	AG-895-K10	Colligatipelagibacter wilhelmii
Pelagibacteraceae	Pantolocipelagibacter	undulae	Ia.4.N2	GCA_902597885.1	GCA_902597885.1	AG-916-G19	Pantolocipelagibacter undulae
Pelagibacteraceae	Tantillipelagibacter	marisrubii	Ia.4.N5	HIMB1436	JBNGZC000000000	HIMB1436	Tantillipelagibacter marisrubii
Pelagibacteraceae	Litoralipelagibacter	koolauensis	Ia.3.III	HIMB4	JBPPFS000000000	HIMB4	Litoralipelagibacter koolauensis
Pelagibacteraceae	Coralipelagibacter	heeiaensis	Ia.3.II	HIMB5	GCA_000299095.1	HIMB5	Coralipelagibacter heeiaensis
Pelagibacteraceae	Coralipelagibacter	kukahii	Ia.3.II	HIMB1412	JBNAKG000000000	HIMB1412	Coralipelagibacter kukahii
Pelagibacteraceae	Pelagibacter	ubiqueversans	Ia.1.I	HTCC1062	GCA_000012345.1	HTCC1062	Pelagibacter ubiqueversans
Pelagibacteraceae	Pelagibacter	giovannonii	Ia.1.I	NP1	ASM1227669v1	NP1	Pelagibacter giovannonii
Pelagibacteraceae	Pelagibacter	yakuwasiensis	Ia.1.I	HTCC9565	GCF_012932795.1	HTCC9565	Pelagibacter yakuwasiensis
Pelagibacteraceae	Rubripelagibacter	caeruleus	Ib.N11	GCA_902581445.1	GCA_902581445.1	NA	Rubripelagibacter caeruleus
Pelagibacteraceae	Copipelagibacter	splendidus	Ib.1.III	GCA_902617415.1	GCA_902617415.1	AG-892-F15	Copipelagibacter splendidus
Pelagibacteraceae	Superipelagibacter	microcenae	Ib.1	HIMB2305	JBNAKJ000000000	HIMB2305	Superipelagibacter microcenae
Pelagibacteraceae	Stellipelagibacter	aequoris	Ib.2.I	GCA_902583075.1	GCA_902583075.1	NA	Stellipelagibacter aequoris
Pelagibacteraceae	Parvipelagibacter	dignotus	Ib.N7	GCA_902577075.1	GCA_902577075.1	AG-426-F15	Parvipelagibacter dignotus
Pelagibacteraceae	Fusipelagibacter	tranquillus	Ib.N10	GCA_902560075.1	GCA_902560075.1	AG-905-M05	Fusipelagibacter tranquillus
Pelagibacteraceae	Medipelagibacter	bermudensis	Ib.4.N8	GCA_902622545.1	GCA_902622545.1	AG-893-K09	Medipelagibacter bermudensis
Pelagibacteraceae	Extensipelagibacter	unicus	Ib.4.I	GCA_902576855.1	GCA_902576855.1	AG-426-E17	Extensipelagibacter unicus
Pelagibacteraceae	Amplipelagibacter	globalis	Ib.4.N9	GCA_902580675.1	GCA_902580675.1	AG-430-F16	Amplipelagibacter globalis
Mesopelagibacteraceae	Mesopelagibacter	profundi	Ic	GCA_000504625.1	GCA_000504625.1	NA	Mesopelagibacter profundi
Cosmipelagibacteraceae	Cosmipelagibacter	regressus	II	HIMB58	GCA_000419545.1	HIMB058	Cosmipelagibacter regressus
Cosmipelagibacteraceae	Anoxypelagibacter	denitrificans	II	GCA_017640265.1	GCA_017640265.1	ETNP2013_S02_SV82_300m_MAG_01	Anoxypelagibacter denitrificans
Fontibacteriaceae	Elongatipelagibacter	longiformis	IIIa	HIMB114	GCA_000163555.2	HIMB114	Elongatipelagibacter longiformis
Fontibacteriaceae	Fontibacterium	commune	IIIb	LSUCC0530	GCA_002688585.1	LSUCC0530	Fontibacterium commune
