rank	assignment_source	genomes
Subclade	ANI>=95% and AAI>=95% with AG-359-M21	1
Subclade	ANI>=95% and AAI>=95% with AG-426-E17	1
Subclade	ANI>=95% and AAI>=95% with AG-894-F15	1
Subclade	ANI>=95% and AAI>=95% with AG-899-N21	1
Subclade	ANI>=95% and AAI>=95% with AG-917-P07	2
Subclade	Curated Clade III classification in Lanclos/Fernandes framework	7
Subclade	Dual-tree crown interpolation (high confidence)	42
Subclade	Dual-tree crown interpolation (provisional)	29
Subclade	Dual-tree validation of prior lineage assignment (high confidence)	2
Subclade	Fernandes et al. 2025 genomes	8
Subclade	Freel et al. 2025 IIa.A/IIa.B classification	52
Subclade	Freel et al. 2025 Type Strains	25
Subclade	Freel et al. 2025 used genome	254
Subclade	Lanclos et al. 2023 used genome	7
Subclade	Retained legacy classification outside harmonization scope	24
Subclade	NA	86
Family	ANI>=95% and AAI>=95% with AG-359-M21	1
Family	ANI>=95% and AAI>=95% with AG-426-E17	1
Family	ANI>=95% and AAI>=95% with AG-894-F15	1
Family	ANI>=95% and AAI>=95% with AG-899-N21	1
Family	ANI>=95% and AAI>=95% with AG-917-P07	2
Family	Curated Clade III subgroup + Freel et al. 2025 taxonomy	4
Family	Dual-tree crown interpolation (high confidence)	88
Family	Dual-tree crown interpolation (provisional)	85
Family	Dual-tree validation of prior family assignment (high confidence)	2
Family	Fernandes et al. 2025 genomes	7
Family	Freel et al. 2025 Type Strains	29
Family	Freel et al. 2025 used genome	291
Family	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	6
Family	NA	24
Genus	ANI>=95% and AAI>=95% with AG-359-M21	1
Genus	ANI>=95% and AAI>=95% with AG-426-E17	1
Genus	ANI>=95% and AAI>=95% with AG-894-F15	1
Genus	ANI>=95% and AAI>=95% with AG-899-N21	1
Genus	ANI>=95% and AAI>=95% with AG-917-P07	2
Genus	Curated Clade III subgroup + Freel et al. 2025 taxonomy	2
Genus	Dual-tree crown interpolation (high confidence)	44
Genus	Dual-tree crown interpolation (provisional)	36
Genus	Dual-tree validation of prior lineage assignment (high confidence)	2
Genus	Fernandes et al. 2025 genomes	7
Genus	Freel et al. 2025 Type Strains	29
Genus	Freel et al. 2025 used genome	291
Genus	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	3
Genus	NA	122
Species	ANI>=95% and AAI>=95% with AG-359-M21	1
Species	ANI>=95% and AAI>=95% with AG-426-E17	1
Species	ANI>=95% and AAI>=95% with AG-894-F15	1
Species	ANI>=95% and AAI>=95% with AG-899-N21	1
Species	ANI>=95% and AAI>=95% with AG-917-P07	2
Species	Fernandes et al. 2025 genomes	7
Species	Freel et al. 2025 Type Strains	29
Species	Freel et al. 2025 used genome	86
Species	NA	414
