genome	previous_Subclade	previous_Family	previous_Genus	previous_Species	final_Subclade	final_Family	final_Genus	final_Species	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source	subclade_changed	family_changed	genus_changed	species_changed
AG-343-E17	IIa.A	Cosmipelagibacteraceae	Anoxipelagibacter	NA	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	FALSE	FALSE	TRUE	FALSE
AG-439-C08	IIa.A	Cosmipelagibacteraceae	NA	NA	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (high confidence)	NA	FALSE	FALSE	TRUE	FALSE
AG-414-B15	IIa.A	Cosmipelagibacteraceae	Anoxipelagibacter	NA	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	FALSE	FALSE	TRUE	FALSE
AG-365-B19	IIa.A	Cosmipelagibacteraceae	NA	NA	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (high confidence)	NA	FALSE	FALSE	TRUE	FALSE
AG-426-O05	IIa.A	Cosmipelagibacteraceae	Anoxipelagibacter	NA	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	FALSE	FALSE	TRUE	FALSE
AG-422-A21	IIa.A	Cosmipelagibacteraceae	NA	NA	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (high confidence)	NA	FALSE	FALSE	TRUE	FALSE
AG-426-I15	IIa.A	Cosmipelagibacteraceae	Anoxipelagibacter	NA	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	FALSE	FALSE	TRUE	FALSE
AG-430-F03	IIa.A	Cosmipelagibacteraceae	Anoxipelagibacter	NA	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	FALSE	FALSE	TRUE	FALSE
AG-325-E20	IIa.A	Cosmipelagibacteraceae	Anoxipelagibacter	NA	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	FALSE	FALSE	TRUE	FALSE
AG-904-F11	IIa.A	Cosmipelagibacteraceae	NA	NA	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	FALSE	FALSE	TRUE	FALSE
AG-920-L07	IIa.A	Cosmipelagibacteraceae	Anoxipelagibacter	NA	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	FALSE	FALSE	TRUE	FALSE
AG-422-L15	IIa.A	Cosmipelagibacteraceae	Anoxipelagibacter	NA	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	FALSE	FALSE	TRUE	FALSE
AG-916-D16	IIa.A	Cosmipelagibacteraceae	NA	NA	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	FALSE	FALSE	TRUE	FALSE
AG-912-D10	IIa.A	Cosmipelagibacteraceae	Anoxipelagibacter	NA	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	FALSE	FALSE	TRUE	FALSE
AG-916-G03	IIa.A	Cosmipelagibacteraceae	NA	NA	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	FALSE	FALSE	TRUE	FALSE
MED-G40	IIa.A	Cosmipelagibacteraceae	NA	NA	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	FALSE	FALSE	TRUE	FALSE
