genome	Clade1	original_Subclade	harmonized_Subclade	original_Family	harmonized_Family	original_Genus	harmonized_Genus	original_Species	harmonized_Species	subclade_changed	family_changed	genus_changed	species_changed
HTCC1002	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	NA	ubiqueversans	TRUE	FALSE	FALSE	TRUE
HIMB122	I	Ia.3	Ia.3.VI	Pelagibacteraceae	Pelagibacteraceae	Proprepelagibacter	Undatipelagibacter	NA	huakaii	TRUE	FALSE	TRUE	TRUE
HTCC1016	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	NA	ubiqueversans	TRUE	FALSE	FALSE	TRUE
HTCC1013	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	NA	ubiqueversans	TRUE	FALSE	FALSE	TRUE
HTCC1062	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	ubiqueversans	ubiqueversans	TRUE	FALSE	FALSE	FALSE
HTCC1040	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	NA	ubiqueversans	TRUE	FALSE	FALSE	TRUE
NP1	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	giovannonii	giovannonii	TRUE	FALSE	FALSE	FALSE
Uisw_137	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
RIS-SAG-41	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
Uisw_101	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
Uisw_104	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
Uisw_106	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
Uisw_094	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
Uisw_136	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
Uisw_113	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
Uisw_116	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
Uisw_121	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
Uisw_114	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
Uisw_130	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
Uisw_092	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
Uisw_090	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
Uisw_127	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
Uisw_099_02	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
HTCC9565	I	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	Pelagibacter	yakuwasiensis	yakuwasiensis	TRUE	FALSE	FALSE	FALSE
Uisw_134_02	I	Ia.1	NA	Pelagibacteraceae	Pelagibacteraceae	Pelagibacter	NA	NA	NA	TRUE	FALSE	TRUE	FALSE
HTCC7217	I	Ia.3.I	Ia.3.I	Pelagibacteraceae	Pelagibacteraceae	Atlantikopelagibacter	Atlantikopelagibacter	NA	sargassoseensis	FALSE	FALSE	FALSE	TRUE
HIMB1321	I	Ia.3.III	Ia.3.III	Pelagibacteraceae	Pelagibacteraceae	Littoralipelagibacter	Litoralipelagibacter	NA	koolauensis	FALSE	FALSE	TRUE	TRUE
HIMB1527	I	Ia.3.III	Ia.3.III	Pelagibacteraceae	Pelagibacteraceae	Littoralipelagibacter	Litoralipelagibacter	NA	koolauensis	FALSE	FALSE	TRUE	TRUE
HIMB1505	I	Ia.3.III	Ia.3.III	Pelagibacteraceae	Pelagibacteraceae	Littoralipelagibacter	Litoralipelagibacter	NA	koolauensis	FALSE	FALSE	TRUE	TRUE
HIMB1549	I	Ia.3.III	Ia.3.III	Pelagibacteraceae	Pelagibacteraceae	Littoralipelagibacter	Litoralipelagibacter	NA	koolauensis	FALSE	FALSE	TRUE	TRUE
HIMB4	I	Ia.3.III	Ia.3.III	Pelagibacteraceae	Pelagibacteraceae	Littoralipelagibacter	Litoralipelagibacter	koolauensis	koolauensis	FALSE	FALSE	TRUE	FALSE
AG-390-G11	I	Ia.3.IV	Ia.3.IV	Pelagibacteraceae	Pelagibacteraceae	Proprepelagibacter	Accedentipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-390-L03	I	Ia.3.IV	Ia.3.IV	Pelagibacteraceae	Pelagibacteraceae	Proprepelagibacter	Accedentipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
SAG-MED06	I	Ia.3.IV	Ia.3.IV	Pelagibacteraceae	Pelagibacteraceae	Proprepelagibacter	Accedentipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
SAG-MED50	I	Ia.3.IV	Ia.3.IV	Pelagibacteraceae	Pelagibacteraceae	Proprepelagibacter	Accedentipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
