marker_tree	family_group	genomes	monophyletic	mrca_node	node_label	ufboot
bac120 IQ-TREE 2	Cosmipelagibacteraceae	52	TRUE	698	100/100	100
bac120 IQ-TREE 2	Family-unassigned Clade IV	24	TRUE	753	100/100	100
bac120 IQ-TREE 2	Fontibacteriaceae	22	TRUE	794	100/100	100
bac120 IQ-TREE 2	Mesopelagibacteraceae	3	TRUE	749	100/100	100
bac120 IQ-TREE 2	Pelagibacteraceae	441	TRUE	695	78.9/69	69
SAR11_165 IQ-TREE 2	Cosmipelagibacteraceae	52	TRUE	693	100/100	100
SAR11_165 IQ-TREE 2	Family-unassigned Clade IV	24	TRUE	748	100/100	100
SAR11_165 IQ-TREE 2	Fontibacteriaceae	22	TRUE	789	100/100	100
SAR11_165 IQ-TREE 2	Mesopelagibacteraceae	3	TRUE	744	100/100	100
SAR11_165 IQ-TREE 2	Pelagibacteraceae	441	TRUE	690	60.9/100	100
