genome	Subclade	Family	Genus	Species	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source
HTCC1002	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB122	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HTCC1016	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HTCC1013	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HTCC1062	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
HTCC1040	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
NP1	Ia.1.I	Pelagibacteraceae	Pelagibacter	giovannonii	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
HTCC9565	Ia.1.I	Pelagibacteraceae	Pelagibacter	yakuwasiensis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
AG-447-M05	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HTCC7211	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	sargassoseensis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
HTCC7214	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HTCC7217	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	sargassoseensis	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1412	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	kukahii	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
HIMB1420	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB1427	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB1463	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB1564	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB1520	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB5	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	heeiaensis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
HIMB1321	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1527	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1505	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1549	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB4	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
AG-390-L03	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
SAG-MED50	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HTCC8051	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	yaqonii	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
HTCC9022	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AAA795-A20	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	aumoanae	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
