genome	Subclade	Family	Genus	Species	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source
MED1116	IIIa.1	Fontibacteriaceae	Elongatipelagibacter	NA	Lanclos et al. 2023 used genome	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	NA
HIMB114	IIIa.1	Fontibacteriaceae	Elongatipelagibacter	NA	Lanclos et al. 2023 used genome	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	NA
LSUCC0723	IIIa.1	Fontibacteriaceae	Elongatipelagibacter	NA	Lanclos et al. 2023 used genome	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	NA
LSUCC0664	IIIa.1	Fontibacteriaceae	Elongatipelagibacter	NA	Lanclos et al. 2023 used genome	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	NA
AG-894-A09	IIIa.2	Fontibacteriaceae	NA	NA	Lanclos et al. 2023 used genome	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	NA	NA
IMCC9063	IIIa.3	Fontibacteriaceae	NA	NA	Lanclos et al. 2023 used genome	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	NA	NA
LSUCC0261	IIIa.3	Fontibacteriaceae	NA	NA	Lanclos et al. 2023 used genome	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	NA	NA
ME-33	IIIb.8	Fontibacteriaceae	Fontibacterium	medardense	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes
ME-31	IIIb.8	Fontibacteriaceae	Fontibacterium	medardense	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes
ME-17	IIIb.8	Fontibacteriaceae	Fontibacterium	medardense	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes
ME-20	IIIb.8	Fontibacteriaceae	Fontibacterium	medardense	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes
ME-18	IIIb.8	Fontibacteriaceae	Fontibacterium	medardense	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes
MiE-29	IIIb.9	Fontibacteriaceae	Fontibacterium	abundans	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes
MKE-138	IIIb.9	Fontibacteriaceae	Fontibacterium	abundans	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes
LSUCC0530	IIIb.16	Fontibacteriaceae	Fontibacterium	commune	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes
