genome	Clade1	original_Subclade	harmonized_Subclade	original_Family	harmonized_Family	original_Genus	harmonized_Genus	original_Species	harmonized_Species	subclade_changed	family_changed	genus_changed	species_changed
ETNP2013_S02_SV82_300m_MAG_01	II	IIa.A	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Anoxypelagibacter	Anoxypelagibacter	denitrificans	denitrificans	TRUE	FALSE	FALSE	FALSE
AG-905-E10	I	Ia.4.II	NA	Pelagibacteraceae	Pelagibacteraceae	Lacunipelagibacter	NA	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-447-B22	I	Ia.4.N5	NA	Pelagibacteraceae	Pelagibacteraceae	Tantillipelagibacter	NA	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-893-P02	I	NA	Ib.N10	Pelagibacteraceae	Pelagibacteraceae	NA	Fusipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-390-M02	I	NA	Ia.4.N2	Pelagibacteraceae	Pelagibacteraceae	NA	Pantolocipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-430-J04	I	NA	NA	Pelagibacteraceae	Pelagibacteraceae	NA	Amplipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-453-K22	I	NA	NA	Pelagibacteraceae	Pelagibacteraceae	NA	Amplipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
ARS1	I	Ic	Ic	Mesopelagibacteraceae	Mesopelagibacteraceae	Mesopelagibacter	NA	NA	NA	FALSE	FALSE	TRUE	FALSE
MED605	I	Ic	Ic	Mesopelagibacteraceae	Mesopelagibacteraceae	Mesopelagibacter	NA	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-343-E17	II	IIa.A	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Anoxypelagibacter	Anoxypelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-439-C08	II	IIa.A	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Anoxypelagibacter	Anoxypelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-414-B15	II	IIa.A	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Anoxypelagibacter	Anoxypelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-365-B19	II	IIa.A	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Anoxypelagibacter	Anoxypelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-426-O05	II	IIa.A	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Anoxypelagibacter	Anoxypelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-422-A21	II	IIa.A	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Anoxypelagibacter	Anoxypelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-426-I15	II	IIa.A	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Anoxypelagibacter	Anoxypelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-430-F03	II	IIa.A	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Anoxypelagibacter	Anoxypelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-325-E20	II	IIa.A	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Anoxypelagibacter	Anoxypelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-904-F11	II	IIa.A	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Anoxypelagibacter	Anoxypelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-920-L07	II	IIa.A	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Anoxypelagibacter	Anoxypelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-422-L15	II	IIa.A	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Anoxypelagibacter	Anoxypelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-916-D16	II	IIa.A	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Anoxypelagibacter	Anoxypelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-912-D10	II	IIa.A	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Anoxypelagibacter	Anoxypelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-916-G03	II	IIa.A	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Anoxypelagibacter	NA	NA	NA	TRUE	FALSE	TRUE	FALSE
