genome	Subclade	Family	Genus	Species	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source
HTCC1002	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB122	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
ETNP2013_S02_SV82_300m_MAG_01	II	Cosmipelagibacteraceae	Anoxypelagibacter	denitrificans	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
HTCC1016	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HTCC1013	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HTCC1062	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
HTCC1040	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
NP1	Ia.1.I	Pelagibacteraceae	Pelagibacter	giovannonii	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
Uisw_137	NA	NA	NA	NA	NA	NA	NA	NA
RIS-SAG-41	NA	NA	NA	NA	NA	NA	NA	NA
Uisw_101	NA	NA	NA	NA	NA	NA	NA	NA
Uisw_104	NA	NA	NA	NA	NA	NA	NA	NA
Uisw_106	NA	NA	NA	NA	NA	NA	NA	NA
Uisw_094	NA	NA	NA	NA	NA	NA	NA	NA
Uisw_136	NA	NA	NA	NA	NA	NA	NA	NA
Uisw_113	NA	NA	NA	NA	NA	NA	NA	NA
Uisw_116	NA	NA	NA	NA	NA	NA	NA	NA
Uisw_121	NA	NA	NA	NA	NA	NA	NA	NA
Uisw_114	NA	NA	NA	NA	NA	NA	NA	NA
Uisw_130	NA	NA	NA	NA	NA	NA	NA	NA
Uisw_092	NA	NA	NA	NA	NA	NA	NA	NA
Uisw_090	NA	NA	NA	NA	NA	NA	NA	NA
Uisw_127	NA	NA	NA	NA	NA	NA	NA	NA
Uisw_099_02	NA	NA	NA	NA	NA	NA	NA	NA
HTCC9565	Ia.1.I	Pelagibacteraceae	Pelagibacter	yakuwasiensis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
Uisw_134_02	NA	NA	NA	NA	NA	NA	NA	NA
AG-447-M05	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HTCC7211	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	sargassoseensis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
HTCC7214	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HTCC7217	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	sargassoseensis	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1412	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	kukahii	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
HIMB1420	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB1427	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB1463	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB1564	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB1520	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB5	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	heeiaensis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
HIMB1321	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1527	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1505	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
