genome	Clade1	type	rank	prior_value	Family	Genus	Subclade	Species	validation_reasons	eligible_in_any_tree	gap_category
AG-337-G06	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-422-B15	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-422-C21	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-426-I21	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-439-D15	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-457-M14	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-461-P14	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-891-J04	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-892-M06	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-893-M03	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-894-A11	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-895-F07	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-896-A02	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-899-O02	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-900-K14	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-900-M14	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-901-G03	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-905-D16	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-909-G09	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-911-E02	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-919-N17	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-919-P09	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AG-920-L11	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AH-287-F15	IV	SAG	Family	NA	NA	NA	IV	NA	NA	NA	outside_harmonization_scope
AAA795-D22	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-C18	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-C21	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-G21	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-L02	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-L05	I	SAG	Genus	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
