assignment_source	reference	url	application
Freel et al. 2025 Type Strains	Freel et al. (2025), Nature Communications	https://doi.org/10.1038/s41467-025-67043-6	Direct type-strain taxonomy and named species
Freel et al. 2025 used genome	Freel et al. (2025), Nature Communications	https://doi.org/10.1038/s41467-025-67043-6	Direct genomes used in the Freel classification and Supplementary Data 5
Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. (2025), Nature Communications	https://doi.org/10.1038/s41467-025-67043-6	Preserved IIa.A and IIa.B labels from the curated Freel-aligned master
Fernandes et al. 2025 genomes	Fernandes et al. (2025), Nature Microbiology	https://doi.org/10.1038/s41564-025-02091-8	Direct Fontibacterium genome, subclade, genus, and species assignments
Lanclos et al. 2023 used genome	Lanclos et al. (2023), The ISME Journal	https://doi.org/10.1038/s41396-023-01376-2	Direct SAR11-IIIa genome and subgroup assignments
Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	Lanclos et al. (2023) and Freel et al. (2025)	https://doi.org/10.1038/s41396-023-01376-2; https://doi.org/10.1038/s41467-025-67043-6	Lanclos IIIa subgroup linked to the corresponding Freel family/genus name
Curated Clade III classification in Lanclos/Fernandes framework	Curated SAR11 Genome Atlas classification	data/phylogeny/taxonomy_harmonization/outputs/final_sar11_165_iqtree_high_support/subclade_harmonized.tsv	Retained Clade III subgroup for genomes absent from the source-paper tables
Curated Clade III subgroup + Freel et al. 2025 taxonomy	Curated Atlas classification and Freel et al. (2025)	data/phylogeny/taxonomy_harmonization/outputs/final_sar11_165_iqtree_high_support/subclade_harmonized.tsv; https://doi.org/10.1038/s41467-025-67043-6	Curated Clade III subgroup linked to a named Freel family/genus
ANI>=95% and AAI>=95% with <strain>	Atlas all-vs-all ANI and AAI results	data/phylogeny/fastani_SAR11_542_symmetric_matrix.tsv; data/phylogeny/comparem_aaiwf_SAR11_542_out_summary.tsv	Species and associated taxonomy propagation from a unique direct species reference supported by both ANI and AAI
SAR11_165 crown interpolation (high confidence)	SAR11_165 IQ-TREE 2 (UFBoot)	data/phylogeny/tree/SAR11_542_SCG165_iqtree.tree	Genome-specific interpolation within SAR11_165 seed-bounded crowns; crown support >= 0.95
SAR11_165 validation of prior family assignment (high confidence)	SAR11_165 IQ-TREE 2 (UFBoot)	data/phylogeny/tree/SAR11_542_SCG165_iqtree.tree	Validation of an existing single-seed Family only when the complete prior candidate set is the exact exclusive SAR11_165 crown; crown support >= 0.95
SAR11_165 validation of prior lineage assignment (high confidence)	SAR11_165 IQ-TREE 2 (UFBoot)	data/phylogeny/tree/SAR11_542_SCG165_iqtree.tree	Validation of an existing single-seed Genus/Subclade only when the complete prior candidate set is the exact exclusive SAR11_165 crown, its parent Family is consistent, and crown support >= 0.95
