id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	score<Avg. pub. year>
33	"allen, ae"	0.1293	0.0561	1	14	20	5	2015.4
35	"allen, mj"	-0.7567	-0.7876	6	5	16	4	2022.5
40	"alonso, c"	0.744	-0.0124	3	5	7	3	2006.3333
42	"alonso-sáez, l"	0.6893	-0.2863	3	16	28	9	2012.3333
45	"amann, r"	1.0462	0.2437	10	14	26	9	2015.3333
48	"amaral-zettler, la"	0.2465	-0.683	3	3	4	3	2017.3333
60	"andersson, a"	0.5459	0.0166	4	5	11	3	2016
61	"andersson, af"	0.4244	0.0585	4	12	15	4	2017.75
64	"andersson, sge"	0.0276	-0.2063	12	10	19	6	2013.5
71	"apprill, a"	-0.4283	-0.3592	7	3	3	3	2017.3333
72	"arandia-gorostidi, n"	0.6546	-0.5213	3	5	10	3	2017.3333
80	"armbrust, ev"	0.1133	-0.6227	1	5	8	3	2013.3333
111	"bakenhus, i"	-0.5445	1.2252	15	4	10	3	2018
113	"balagué, v"	0.935	-0.0959	3	8	12	3	2009
121	"barbeau, ka"	0.1316	-0.0617	1	7	9	4	2012.75
123	"barofsky, df"	-0.4965	-0.8874	11	13	22	4	2008.25
137	"becker, jw"	0.1715	-0.3651	1	9	14	6	2019.5
160	"bertilsson, s"	0.376	-0.1038	1	15	22	5	2014
173	"biller, sj"	-0.0258	-0.4183	1	9	11	3	2023.3333
179	"blain, s"	0.2843	0.4238	4	2	4	3	2017.6667
193	"bolaños, lm"	-0.6047	-0.6924	6	10	20	5	2022
214	"breaker, rr"	-0.4355	-0.9555	11	6	10	3	2009
220	"brinkhoff, t"	-0.4329	1.154	15	3	10	5	2009.4
224	"brock, ml"	-1.1719	-0.1344	12	3	7	3	2024
229	"brown, mv"	-0.0627	0.4024	7	12	24	7	2014
238	"brüwer, jd"	1.1088	0.3462	10	6	14	3	2023.6667
240	"buchholz, hh"	-0.6865	-0.7958	6	5	18	5	2022.2
249	"béjà, o"	0.2338	0.2344	4	3	5	7	2011.7143
257	"cai, l"	-0.6648	0.3615	5	4	4	3	2019
264	"campbell, bj"	0.4418	-0.5347	3	2	4	3	2011.6667
265	"campbell, eo"	-0.7041	-0.4315	6	5	10	3	2014.3333
271	"carini, p"	-0.5677	-0.5087	6	14	33	8	2013.5
273	"carlson, ca"	-0.2568	-0.6872	6	21	34	12	2013.4167
274	"carlson, lt"	0.0603	-0.5927	1	7	12	3	2021
