Orthogroup	gene_id	Accession_number	db_source	pident	alnlen	qcovhsp	scovhsp	evalue	bitscore
OG0000000	HTCC9565_00951	A0ABX1T416	TrEMBL	100	353	100	100	1.2199999999999999e-244	675
OG0000001	HTCC1002_00505	Q4FMJ9	TrEMBL	100	366	100	100	8.539999999999999e-263	722
OG0000002	NP1_00448	A0A6H1Q1M1	TrEMBL	100	300	100	100	2.34e-204	569
OG0000003	NP1_00037	A0A6H1Q0J5	TrEMBL	100	317	100	99.7	4.2599999999999997e-218	605
OG0000004	NP1_01368	A0A6H1Q3U8	TrEMBL	100	442	100	100	0	922
OG0000005	NP1_00339	A0A6H1Q1V8	TrEMBL	100	308	100	100	1.0099999999999999e-218	606
OG0000006	HTCC1002_00028	Q1UZV4	TrEMBL	100	254	100	100	2.08e-184	514
OG0000007	HTCC1002_00737	Q4FN87	TrEMBL	100	259	100	100	1.9799999999999997e-180	505
OG0000008	NP1_00661	A0A6H1Q3V0	TrEMBL	100	300	100	100	2.2099999999999998e-218	604
OG0000009	NP1_01010	A0A6H1Q2S1	TrEMBL	100	353	100	100	3.71e-255	702
OG0000010	NP1_00839	A0A6H1Q2P0	TrEMBL	100	384	100	100	3.85e-275	755
OG0000011	NP1_00350	A0A6H1Q141	TrEMBL	100	320	100	100	1.06e-226	627
OG0000012	NP1_00056	A0A6H1Q085	TrEMBL	100	533	100	100	0	1057
OG0000013	HTCC9565_00333	A0ABX1T2T8	TrEMBL	100	339	100	100	4.6e-242	667
OG0000014	NP1_00360	A0A6H1Q151	TrEMBL	100	594	100	100	0	1198
OG0000015	HTCC1002_01099	Q1V0T9	TrEMBL	100	98	100	100	9.229999999999999e-69	209
OG0000016	NP1_00449	A0A6H1Q108	TrEMBL	100	290	100	100	7.29e-203	564
OG0000017	HTCC9565_00863	A0ABX1T294	TrEMBL	100	717	100	100	0	1404
OG0000018	HTCC9565_00995	A0ABX1T148	TrEMBL	100	606	100	100	0	1191
OG0000019	HTCC9565_00737	A0ABX1T0E6	TrEMBL	100	361	100	100	2.3199999999999997e-253	698
OG0000020	HTCC1002_00697	Q1V1Y2	TrEMBL	100	312	100	100	6.649999999999999e-226	624
OG0000021	HTCC9565_00803	A0ABX1T3N3	TrEMBL	100	336	100	100	6.639999999999999e-229	634
OG0000022	HTCC9565_01107	A0ABX1T4H8	TrEMBL	100	1002	100	100	0	2015
OG0000023	HTCC1002_00698	Q4FN48	TrEMBL	100	347	100	100	5.95e-258	708
OG0000024	HTCC9565_01108	A0ABX1T5F8	TrEMBL	100	91	100	100	2.17e-66	203
OG0000025	NP1_01007	A0A6H1Q4E7	TrEMBL	100	317	100	100	3.83e-223	618
OG0000026	HTCC9565_00958	A0ABX1T4K9	TrEMBL	100	341	100	100	8.54e-239	659
OG0000027	NP1_01228	A0A6H1Q4Q9	TrEMBL	100	745	100	100	0	1443
OG0000028	HTCC9565_00759	A0ABX1T2B7	TrEMBL	100	232	100	100	4.539999999999999e-168	471
OG0000029	NP1_01367	A0A6H1Q4P3	TrEMBL	100	489	100	100	0	1039
OG0000030	HTCC9565_00636	A0ABX1T3M7	TrEMBL	100	322	100	100	3.46e-233	644
OG0000031	HTCC1062_01092	Q4FLP8	TrEMBL	100	432	100	100	1.97e-305	838
