genome	Clade1	Clade2	Subclade	Subgroup	Family	Genus	Species	Order	reference	type_strain_Freel_2024	type	depth	latitude	longitude	depth_cat	latitude_cat	longhurst_code	description	habitat_type	waterbody_name	habitat_source	completeness	contamination	coding_density	checkm2_contig_n50	checkm2_average_gene_length	checkm2_genome_size	checkm2_total_coding_sequences	checkm2_total_contigs	checkm2_max_contig_length	N_ARSC	C_ARSC	S_ARSC	GC	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source	Subclade_assignment_confidence	Family_assignment_confidence	Genus_assignment_confidence	Species_assignment_confidence	Family_bac120_crown_node	Family_SAR11_165_crown_node	Subclade_bac120_crown_node	Subclade_SAR11_165_crown_node	Genus_bac120_crown_node	Genus_SAR11_165_crown_node	Family_bac120_crown_support	Family_SAR11_165_crown_support	Subclade_bac120_crown_support	Subclade_SAR11_165_crown_support	Genus_bac120_crown_support	Genus_SAR11_165_crown_support	Family_dual_tree_support	Subclade_dual_tree_support	Genus_dual_tree_support	species_reference_genome	ANI_to_species_reference	AAI_to_species_reference
HTCC1002	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Pelagibacterales	Rappe et al., (2002)	NA	isolate	10	44.651667	-124.41167	0-100m	northern_temperate	CCAL	Coastal - California Upwelling Coastal Province	marine	Oregon coastal Pacific Ocean	Rappe et al., (2002); coordinate in table; Longhurst CCAL	99.27	0.05	0.949	1324008	305.77374909354603	1328618	1379	4	1324008	0.329584	3.109371	0.031737	29.74	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB122	I	Ia	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Pelagibacterales	Brandon (2006)	NA	isolate	2	21.52735	-157.80912	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Brandon (2006); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	99.75	0.1	0.965	1453515	309.21819380355964	1453515	1517	1	1453515	0.332229	3.13129	0.031697	29.27	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETNP2013_S02_SV82_300m_MAG_01	II	Iia	IIa.A	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	denitrificans	Pelagibacterales	Ruiz-Perez et al., (2021)	TRUE	MAG	300	18.9	-108.8	>200m	northern_tropical	PNEC	Trades - N. Pacific Equatorial Countercurrent Province	marine	North Pacific Ocean	Ruiz-Perez et al., (2021); coordinate in table; Longhurst PNEC; inferred waterbody North Pacific Ocean	84.01	3.11	0.952	15926	285.537109375	918736	1024	101	59147	0.347499	3.13012	0.031933	31.17	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC1016	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Pelagibacterales	JGI/IMG	NA	isolate	NA	NA	NA	NA	NA	NA	NA	marine	Oregon coastal Pacific Ocean	Oregon Coast isolate; NCBI BioProject PRJNA165601; JGI Project 400409; JGI/IMG entry lacks coordinates	99.62	0.05	0.954	794419	305.2538745387454	1297098	1355	4	794419	0.331947	3.1182	0.032086	29.54	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC1013	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Pelagibacterales	Rappe et al., (2002)	NA	isolate	10	44.651667	-124.41167	0-100m	northern_temperate	CCAL	Coastal - California Upwelling Coastal Province	marine	North Pacific Ocean	Rappe et al., (2002); coordinate in table; Longhurst CCAL; inferred waterbody North Pacific Ocean	99.28	0.04	0.956	741014	307.1129985228951	1301122	1354	5	741014	0.327981	3.110584	0.032236	29.67	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC1062	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Pelagibacterales	Rappe et al., (2002)	TRUE	isolate	10	44.651667	-124.41167	0-100m	northern_temperate	CCAL	Coastal - California Upwelling Coastal Province	marine	North Pacific Ocean	Rappe et al., (2002); coordinate in table; Longhurst CCAL; inferred waterbody North Pacific Ocean	99.77	0.03	0.961	1308759	310.99778106508876	1308759	1352	1	1308759	0.327822	3.103836	0.031847	29.68	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC1040	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Pelagibacterales	Rappe et al., (2002)	NA	isolate	10	44.651667	-124.41167	0-100m	northern_temperate	CCAL	Coastal - California Upwelling Coastal Province	marine	North Pacific Ocean	Rappe et al., (2002); coordinate in table; Longhurst CCAL; inferred waterbody North Pacific Ocean	99.55	0.34	0.961	1274624	305.0618479880775	1274624	1342	1	1274624	0.331581	3.125849	0.032562	29.55	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NP1	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	giovannonii	Pelagibacterales	Morris et al., (2020)	TRUE	isolate	40	47.83065	-129.74983	0-100m	northern_temperate	CCAL	Coastal - California Upwelling Coastal Province	marine	North Pacific Ocean	Morris et al., (2020); coordinate in table; Longhurst CCAL; inferred waterbody North Pacific Ocean	97.71	0.13	0.958	1365705	298.20313565098843	1365705	1467	1	1365705	0.332756	3.116108	0.032494	29.55	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Uisw_137	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Pelagibacterales	Sadler et al., (2025)	NA	isolate	25	81.04	10.62	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard	99.65	0.21	0.954	1403101	300.89710827168796	1403101	1487	1	1403101	0.331827	3.133615	0.032497	29.36	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
RIS-SAG-41	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Pelagibacterales	Martinez-Perez et al., (2022)	NA	SAG	NA	-80.65767	-174.46263	NA	southern_polar	APLR	Polar - Austral Polar Province	marine	Southern Ocean	Martinez-Perez et al., (2022); coordinate in table; Longhurst APLR; inferred waterbody Southern Ocean	90.37	0.01	0.956	121576	295.796568627451	1132620	1224	43	201083	0.330066	3.113542	0.033323	30.02	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
