genome	bac120_taxon	bac120_parent_taxon	bac120_node	bac120_support	bac120_descendants	bac120_target_seeds	bac120_primary_seeds	scg165_taxon	scg165_parent_taxon	scg165_node	scg165_support	scg165_descendants	scg165_target_seeds	scg165_primary_seeds	rank	concordant_taxon	concordant_parent	dual_tree_support	assignment_confidence	decision
AAA795-A20	Pelagibacteraceae	NA	567	1	5	4	4	Pelagibacteraceae	NA	563	1	10	7	7	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AAA795-D22	Pelagibacteraceae	NA	707	0.99	38	23	23	Pelagibacteraceae	NA	706	1	109	65	65	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-313-A04	Cosmipelagibacteraceae	NA	994	1	3	3	3	Cosmipelagibacteraceae	NA	993	1	3	3	3	Family	Cosmipelagibacteraceae	NA	1	topology_high	topology_high
AG-325-C18	Pelagibacteraceae	NA	707	0.99	38	23	23	Pelagibacteraceae	NA	717	1	98	60	60	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-325-C21	Pelagibacteraceae	NA	548	1	317	210	206	Pelagibacteraceae	NA	548	1	317	210	206	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-325-E08	Pelagibacteraceae	NA	747	0.76	6	4	4	Pelagibacteraceae	NA	752	1	2	2	2	Family	Pelagibacteraceae	NA	0.76	topology_provisional	topology_provisional
AG-325-E13	Cosmipelagibacteraceae	NA	1020	1	5	3	3	Cosmipelagibacteraceae	NA	1020	1	5	3	3	Family	Cosmipelagibacteraceae	NA	1	topology_high	topology_high
AG-325-E20	Cosmipelagibacteraceae	NA	1027	0.98	3	2	2	Cosmipelagibacteraceae	NA	1025	1	5	3	3	Family	Cosmipelagibacteraceae	NA	0.98	topology_high	topology_high
AG-325-G21	Pelagibacteraceae	NA	548	1	317	210	206	Pelagibacteraceae	NA	548	1	317	210	206	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-325-L02	Pelagibacteraceae	NA	744	0.98	71	42	42	Pelagibacteraceae	NA	746	0.83	18	8	8	Family	Pelagibacteraceae	NA	0.83	topology_provisional	topology_provisional
AG-325-L05	Pelagibacteraceae	NA	744	0.98	71	42	42	Pelagibacteraceae	NA	746	0.83	18	8	8	Family	Pelagibacteraceae	NA	0.83	topology_provisional	topology_provisional
AG-333-A04	Pelagibacteraceae	NA	557	1	106	90	90	Pelagibacteraceae	NA	557	1	106	90	90	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-333-D08	Pelagibacteraceae	NA	744	0.98	71	42	42	Pelagibacteraceae	NA	746	0.83	18	8	8	Family	Pelagibacteraceae	NA	0.83	topology_provisional	topology_provisional
AG-333-K06	Pelagibacteraceae	NA	547	0.9	422	269	264	Pelagibacteraceae	NA	547	1	416	269	264	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-333-N15	Pelagibacteraceae	NA	548	1	317	210	206	Pelagibacteraceae	NA	548	1	317	210	206	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-337-C09	Pelagibacteraceae	NA	886	0.99	4	2	2	Pelagibacteraceae	NA	877	1	12	7	7	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-337-C19	Pelagibacteraceae	NA	958	0.96	4	4	4	Pelagibacteraceae	NA	957	1	3	2	2	Family	Pelagibacteraceae	NA	0.96	topology_high	topology_high
AG-337-D16	Pelagibacteraceae	NA	906	0.91	4	2	2	Pelagibacteraceae	NA	908	0.99	2	2	2	Family	Pelagibacteraceae	NA	0.91	topology_provisional	topology_provisional
AG-337-D17	Pelagibacteraceae	NA	725	0.98	3	3	3	Pelagibacteraceae	NA	728	1	4	4	4	Family	Pelagibacteraceae	NA	0.98	topology_high	topology_high
