genome	Subclade	Family	Genus	Species	assignment_source	species_reference_genome	ANI_to_species_reference	AAI_to_species_reference	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source
AG-891-E06	Ib.4.I	Pelagibacteraceae	Extensipelagibacter	unicus	ANI>=95% and AAI>=95% with AG-426-E17	AG-426-E17	97.22405	97.46	ANI>=95% and AAI>=95% with AG-426-E17	ANI>=95% and AAI>=95% with AG-426-E17	ANI>=95% and AAI>=95% with AG-426-E17	ANI>=95% and AAI>=95% with AG-426-E17
AG-892-E08	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	ANI>=95% and AAI>=95% with AG-899-N21	AG-899-N21	97.8451	97.31	ANI>=95% and AAI>=95% with AG-899-N21	ANI>=95% and AAI>=95% with AG-899-N21	ANI>=95% and AAI>=95% with AG-899-N21	ANI>=95% and AAI>=95% with AG-899-N21
AG-896-G07	Ib.1.III	Pelagibacteraceae	Copipelagibacter	splendidus	ANI>=95% and AAI>=95% with AG-894-F15	AG-894-F15	99.19665	99.52	ANI>=95% and AAI>=95% with AG-894-F15	ANI>=95% and AAI>=95% with AG-894-F15	ANI>=95% and AAI>=95% with AG-894-F15	ANI>=95% and AAI>=95% with AG-894-F15
AG-911-G03	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	ANI>=95% and AAI>=95% with AG-917-P07	AG-917-P07	96.46755	96.46	ANI>=95% and AAI>=95% with AG-917-P07	ANI>=95% and AAI>=95% with AG-917-P07	ANI>=95% and AAI>=95% with AG-917-P07	ANI>=95% and AAI>=95% with AG-917-P07
AG-914-P23	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	ANI>=95% and AAI>=95% with AG-359-M21	AG-359-M21	96.95975	96.9	ANI>=95% and AAI>=95% with AG-359-M21	ANI>=95% and AAI>=95% with AG-359-M21	ANI>=95% and AAI>=95% with AG-359-M21	ANI>=95% and AAI>=95% with AG-359-M21
AG-917-C11	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	ANI>=95% and AAI>=95% with AG-917-P07	AG-917-P07	99.7288	99.83	ANI>=95% and AAI>=95% with AG-917-P07	ANI>=95% and AAI>=95% with AG-917-P07	ANI>=95% and AAI>=95% with AG-917-P07	ANI>=95% and AAI>=95% with AG-917-P07
