genome	Clade1	type	Subclade	Family	Genus	Species	original_Subclade	original_Subgroup	original_Family	original_Genus	original_Species	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source	Subclade_assignment_confidence	Family_assignment_confidence	Genus_assignment_confidence	Species_assignment_confidence	Family_bac120_crown_node	Family_SAR11_165_crown_node	Subclade_bac120_crown_node	Subclade_SAR11_165_crown_node	Genus_bac120_crown_node	Genus_SAR11_165_crown_node	Family_bac120_crown_support	Family_SAR11_165_crown_support	Subclade_bac120_crown_support	Subclade_SAR11_165_crown_support	Genus_bac120_crown_support	Genus_SAR11_165_crown_support	Family_dual_tree_support	Subclade_dual_tree_support	Genus_dual_tree_support	species_reference_genome	ANI_to_species_reference	AAI_to_species_reference
HTCC1002	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Ia.1	Ia1.I	Pelagibacteraceae	Pelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB122	I	isolate	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Ia.3	Ia3.VI	Pelagibacteraceae	Proprepelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETNP2013_S02_SV82_300m_MAG_01	II	MAG	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	denitrificans	IIa.A	IIa.A.1	Cosmipelagibacteraceae	Anoxipelagibacter	denitrificans	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC1016	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC1013	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC1062	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC1040	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	ubiqueversans	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NP1	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	giovannonii	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	giovannonii	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Uisw_137	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
RIS-SAG-41	I	SAG	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_101	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_104	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_106	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_094	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_136	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_113	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
