Orthogroup	gene_id	genome	Accession_number	db_source	structure_match_type	pident	qcovhsp	scovhsp	evalue	bitscore	afdb_available	ko_id	ko_description	COG_ID	GENE_NAME	COG_NAME
OG0000000	HTCC1002_00483	HTCC1002	Q1V2J4	TrEMBL	Close sequence match	100	100	100	1.27e-244	675	TRUE	K02000	glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]	COG4175	ProV	Amino acid transport and metabolism
OG0000000	HTCC1062_00808	HTCC1062	Q4FMH3	TrEMBL	Close sequence match	100	100	100	1.27e-244	675	TRUE	K02000	glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]	COG4175	ProV	Amino acid transport and metabolism
OG0000001	HTCC1002_00505	HTCC1002	Q4FMJ9	TrEMBL	Close sequence match	100	100	100	8.54e-263	722	TRUE	NA	NA	COG3839	MalK	Carbohydrate transport and metabolism
OG0000001	NP1_00447	NP1	A0A6H1Q2Y0	TrEMBL	Close sequence match	100	100	100	1.21e-262	722	TRUE	NA	NA	COG3839	MalK	Carbohydrate transport and metabolism
OG0000002	NP1_00448	NP1	A0A6H1Q1M1	TrEMBL	Close sequence match	100	100	100	2.34e-204	569	TRUE	K17317	glucose/mannose transport system permease protein	COG0395	UgpE	Carbohydrate transport and metabolism
OG0000002	HTCC1002_00506	HTCC1002	Q4FMK0	TrEMBL	Close sequence match	100	100	100	2.73e-203	566	TRUE	K17317	glucose/mannose transport system permease protein	COG0395	UgpE	Carbohydrate transport and metabolism
OG0000002	NP1_01013	NP1	A0A6H1Q2W3	TrEMBL	Close sequence match	100	100	100	4.03e-196	546	TRUE	NA	NA	COG0395	UgpE	Carbohydrate transport and metabolism
OG0000003	HTCC1062_01245	HTCC1062	Q4FLA1	TrEMBL	Close sequence match	100	100	100	9.05e-196	547	TRUE	K15270	S-adenosylmethionine uptake transporter	COG0697	EamA	Amino acid transport and metabolism
OG0000003	HTCC1002_00258	HTCC1002	Q1UZ76	TrEMBL	Close sequence match	100	100	100	7.8e-194	541	TRUE	K15270	S-adenosylmethionine uptake transporter	COG0697	EamA	Amino acid transport and metabolism
OG0000004	NP1_01368	NP1	A0A6H1Q3U8	TrEMBL	Close sequence match	100	100	100	0	922	TRUE	NA	NA	COG0665	DadA	Amino acid transport and metabolism
