Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
AAA795-A20	92.2	0.04	Neural Network (Specific Model)	11	0.962	106301	294.1635926222935	1140609	0.29	1247	63	164562	None
AG-313-A04	87.31	0.0	Neural Network (Specific Model)	11	0.966	120817	302.625	959028	0.3	1024	19	288767	None
AG-325-C18	92.63	0.04	Neural Network (Specific Model)	11	0.963	139225	296.87456747404843	1065439	0.29	1156	22	190308	None
AG-325-C21	86.58	0.4	Neural Network (Specific Model)	11	0.965	46875	293.3312883435583	1036643	0.29	1141	45	111441	None
AG-325-E08	88.71	0.02	Neural Network (Specific Model)	11	0.964	57404	299.7640653357532	1024954	0.29	1102	34	138492	None
AG-325-E20	99.14	0.05	Neural Network (Specific Model)	11	0.965	739086	301.81588132635255	1071569	0.29	1146	8	739086	None
AG-325-G21	87.56	0.53	Neural Network (Specific Model)	11	0.961	91461	299.82805816937554	1091144	0.29	1169	27	165476	None
AG-333-D08	86.29	0.13	Neural Network (Specific Model)	11	0.961	53413	292.5176470588235	1005538	0.29	1105	42	164811	None
AG-333-K06	86.49	0.0	Neural Network (Specific Model)	11	0.964	62895	296.70448307410794	1006550	0.29	1093	33	184788	None
AG-333-N15	87.2	0.06	Neural Network (Specific Model)	11	0.962	47380	301.0885122410546	993623	0.28	1062	51	122347	None
AG-337-D16	88.21	1.39	Neural Network (Specific Model)	11	0.965	70078	306.18518518518516	1204976	0.29	1269	38	274521	None
AG-337-D17	89.12	0.04	Neural Network (Specific Model)	11	0.96	64266	295.15238095238095	1061156	0.29	1155	27	142378	None
AG-337-E15	86.59	0.0	Neural Network (Specific Model)	11	0.969	86409	298.90363636363634	1014038	0.3	1100	30	221179	None
AG-337-G06	93.19	0.01	Gradient Boost (General Model)	11	0.96	142625	309.04245640636844	1270863	0.33	1319	20	250344	None
AG-337-G11	86.29	0.0	Neural Network (Specific Model)	11	0.963	53392	290.67148936170213	1059717	0.3	1175	34	112533	None
AG-343-E17	86.06	0.02	Neural Network (Specific Model)	11	0.963	98647	301.33903133903135	985420	0.3	1053	26	195711	None
AG-349-O05	87.42	0.59	Neural Network (Specific Model)	11	0.965	50134	298.82382133995037	1119353	0.29	1209	37	134192	None
AG-359-B05	87.05	0.13	Neural Network (Specific Model)	11	0.969	71261	301.3297342192691	1119711	0.29	1204	33	141631	None
AG-359-C09	92.14	0.0	Neural Network (Specific Model)	11	0.959	89615	299.53471074380167	1130529	0.3	1210	26	208001	None
