id	prokka_seq_name	COG_ID	COG_GENE_NAME	COG_NAME	COG_LETTER	KO	ko_definition
OG1	3-oxoacyl-[acyl-carrier-protein] reductase FabG	COG1028	FabG	"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family"	I	K00208	enoyl-[acyl-carrier protein] reductase I
OG2	UDP-glucose 4-epimerase	COG0451	WcaG	Nucleoside-diphosphate-sugar epimerase	M	K01711	"GDPmannose 4,6-dehydratase"
OG3	Sarcosine oxidase subunit beta	COG0665	DadA	Glycine/D-amino acid oxidase (deaminating)	E	K00303	"sarcosine oxidase, subunit beta"
OG4	3-succinoylsemialdehyde-pyridine dehydrogenase	COG1012	AdhE	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	I	K00140	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase
OG5	Imidazole glycerol phosphate synthase subunit HisH	COG0512	PabA	Anthranilate/para-aminobenzoate synthase component II (glutamine amidotransferase)	E	K02501	imidazole glycerol-phosphate synthase subunit HisH
OG6	D-inositol-3-phosphate glycosyltransferase	COG0438	RfaB	Glycosyltransferase involved in cell wall bisynthesis	M	NA	NA
OG7	Tryptophan synthase beta chain	COG0133	TrpB	Tryptophan synthase beta chain	E	K01733	threonine synthase
OG8	C4-dicarboxylate TRAP transporter large permease protein DctM	COG4664	FcbT3	"TRAP-type mannitol/chloroaromatic compound transport system, large permease component"	Q	K11690	"C4-dicarboxylate transporter, DctM subunit"
OG9	Aspartate aminotransferase	COG0436	AspB	Aspartate/methionine/tyrosine aminotransferase	E	K00812	aspartate aminotransferase
OG10	Aminomethyltransferase	COG0404	GcvT	Glycine cleavage system protein T (aminomethyltransferase)	E	K00605	aminomethyltransferase
OG11	Monocarboxylate 2-oxoacid-binding periplasmic protein	COG4663	FcbT1	"TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component"	Q	K21395	TRAP-type transport system periplasmic protein
OG12	hypothetical protein	COG0730	TauE	"Sulfite exporter TauE/SafE/YfcA and related permeases, UPF0721 family"	P	K07090	uncharacterized protein
OG13	Glycerate dehydrogenase	COG0111	SerA	Phosphoglycerate dehydrogenase or related dehydrogenase	H	K00122	formate dehydrogenase
OG14	High-affinity branched-chain amino acid transport system permease protein LivH	COG0559	LivH	"Branched-chain amino acid ABC-type transport system, permease component"	E	K01997	branched-chain amino acid transport system permease protein
OG15	Lipopolysaccharide export system ATP-binding protein LptB	COG0411	LivG	"ABC-type branched-chain amino acid transport system, ATPase component LivG"	E	K01995	branched-chain amino acid transport system ATP-binding protein
OG16	hypothetical protein	COG1028	FabG	"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family"	I	K21883	2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+)
OG17	Integration host factor subunit beta	COG0776	HimA	Bacterial nucleoid DNA-binding protein IHF-alpha	L	K03530	DNA-binding protein HU-beta
OG18	"3'(2'),5'-bisphosphate nucleotidase CysQ"	COG0483	SuhB	"Archaeal fructose-1,6-bisphosphatase or related enzyme, inositol monophosphatase family"	G	K01092	myo-inositol-1(or 4)-monophosphatase
OG19	hypothetical protein	COG2814	AraJ	"Predicted arabinose efflux permease AraJ, MFS family"	G	K03446	"MFS transporter, DHA2 family, multidrug resistance protein"
OG20	(E)-2-((N-methylformamido)methylene)succinate hydrolase	COG0596	MenH	"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold"	H	K01561	haloacetate dehalogenase
OG21	Sulfoacetaldehyde acetyltransferase	COG0028	IlvB	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	E	K01652	acetolactate synthase I/II/III large subunit
OG22	Long-chain-fatty-acid--CoA ligase	COG0318	MenE/FadK	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)	I	K20034	3-(methylthio)propionyl---CoA ligase
OG23	3-mercaptopyruvate sulfurtransferase	COG0607	PspE	Rhodanese-related sulfurtransferase	P	K01011	thiosulfate/3-mercaptopyruvate sulfurtransferase
OG24	Ectoine hydrolase	COG0006	PepP	Xaa-Pro aminopeptidase	E	K01265	methionyl aminopeptidase
OG25	Transcriptional regulatory protein CreB	COG0745	OmpR	"DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain"	T	K14981	"two-component system, OmpR family, response regulator ChvI"
OG26	Glutamine synthetase	COG0174	GlnA	Glutamine synthetase	E	K01915	glutamine synthetase
OG27	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase	COG0673	MviM	Predicted dehydrogenase	R	K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase
OG28	Methionyl-tRNA formyltransferase	COG0223	Fmt	Methionyl-tRNA formyltransferase	J	K00604	methionyl-tRNA formyltransferase
OG29	Isocitrate dehydrogenase [NADP]	COG0473	LeuB	Isocitrate/isopropylmalate dehydrogenase	C	K00031	isocitrate dehydrogenase
OG30	Imidazole glycerol phosphate synthase subunit HisF	COG0107	HisF	Imidazole glycerol phosphate synthase subunit HisF	E	K02500	imidazole glycerol-phosphate synthase subunit HisF
OG31	Dihydrolipoyl dehydrogenase 3	COG1249	Lpd	Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase	C	K00382	dihydrolipoamide dehydrogenase
OG32	Biotin carboxylase	COG0439	AccC	Biotin carboxylase	I	K01961	"acetyl-CoA carboxylase, biotin carboxylase subunit"
OG33	Acetylornithine aminotransferase	COG0161	ArgD	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	E	K00821	acetylornithine/N-succinyldiaminopimelate aminotransferase
OG34	2-hydroxy-3-oxopropionate reductase	COG2084	MmsB	3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase	I	K00020	3-hydroxyisobutyrate dehydrogenase
OG35	Riboflavin transporter	COG0697	RhaT	Permease of the drug/metabolite transporter (DMT) superfamily	G	K15270	S-adenosylmethionine uptake transporter
OG36	O-acetyl-L-homoserine sulfhydrylase	COG0626	MET17	Cystathionine beta-lyase/cystathionine gamma-synthase	E	K01740	O-acetylhomoserine (thiol)-lyase
OG37	UTP--glucose-1-phosphate uridylyltransferase	COG1210	GalU	UTP-glucose-1-phosphate uridylyltransferase	M	K00973	glucose-1-phosphate thymidylyltransferase
