OG_ID	pfam	pfam_name	pfam_support	n_genes	pfam_rate
OG0000000	PF00005.30	ABC_tran	1792	1797	0.9972175848636616
OG0000000	PF00571.31	CBS	6	1797	0.00333889816360601
OG0000000	PF00664.26	ABC_membrane	13	1797	0.007234279354479688
OG0000001	PF00005.30	ABC_tran	1536	1548	0.9922480620155039
OG0000001	PF08402.13	TOBE_2	87	1548	0.0562015503875969
OG0000001	PF17912.4	OB_MalK	382	1548	0.2467700258397933
OG0000002	PF00528.25	BPD_transp_1	1515	1520	0.9967105263157895
OG0000003	PF00892.23	EamA	1220	1224	0.9967320261437909
OG0000004	PF01266.27	DAO	1175	1180	0.9957627118644068
OG0000005	PF00393.22	6PGD	3	1174	0.002555366269165247
OG0000005	PF03446.18	NAD_binding_2	1163	1174	0.9906303236797275
OG0000005	PF12766.10	Pyridox_oxase_2	1	1174	8.517887563884157e-4
OG0000005	PF14833.9	NAD_binding_11	1163	1174	0.9906303236797275
OG0000006	PF07963.15	N_methyl	1094	1150	0.951304347826087
OG0000006	PF08334.14	T2SSG	2	1150	0.0017391304347826088
OG0000006	PF16732.8	ComP_DUS	10	1150	0.008695652173913044
OG0000007	PF00106.28	adh_short	164	1138	0.14411247803163443
OG0000007	PF01370.24	Epimerase	1	1138	8.787346221441124e-4
OG0000007	PF01575.22	MaoC_dehydratas	3	1138	0.0026362038664323375
OG0000007	PF13561.9	adh_short_C2	969	1138	0.851493848857645
OG0000008	PF05175.17	MTS	1	1109	9.017132551848512e-4
OG0000008	PF07719.20	TPR_2	1	1109	9.017132551848512e-4
OG0000008	PF08003.14	Methyltransf_9	1	1109	9.017132551848512e-4
OG0000008	PF08241.15	Methyltransf_11	510	1109	0.4598737601442741
OG0000008	PF08242.15	Methyltransf_12	12	1109	0.010820559062218215
OG0000008	PF08484.14	Methyltransf_14	3	1109	0.002705139765554554
OG0000008	PF13181.9	TPR_8	1	1109	9.017132551848512e-4
OG0000008	PF13374.9	TPR_10	1	1109	9.017132551848512e-4
OG0000008	PF13414.9	TPR_11	4	1109	0.0036068530207394047
OG0000008	PF13489.9	Methyltransf_23	435	1109	0.39224526600541026
OG0000008	PF13649.9	Methyltransf_25	38	1109	0.034265103697024346
OG0000008	PF13847.9	Methyltransf_31	70	1109	0.06311992786293959
OG0000009	PF00107.29	ADH_zinc_N	1005	1053	0.9544159544159544
OG0000009	PF01488.23	Shikimate_DH	1	1053	9.49667616334283e-4
OG0000009	PF08240.15	ADH_N	944	1053	0.8964862298195632
OG0000009	PF13602.9	ADH_zinc_N_2	28	1053	0.026590693257359924
OG0000009	PF16884.8	ADH_N_2	87	1053	0.08262108262108261
OG0000009	PF16912.8	Glu_dehyd_C	2	1053	0.001899335232668566
OG0000010	PF00534.23	Glycos_transf_1	1021	1049	0.9733079122974261
OG0000010	PF03808.16	Glyco_tran_WecG	1	1049	9.532888465204957e-4
OG0000010	PF13439.9	Glyco_transf_4	567	1049	0.540514775977121
OG0000010	PF13477.9	Glyco_trans_4_2	39	1049	0.037178265014299335
OG0000010	PF13692.9	Glyco_trans_1_4	1	1049	9.532888465204957e-4
OG0000011	PF00389.33	2-Hacid_dh	1016	1043	0.9741131351869607
OG0000011	PF01842.28	ACT	22	1043	0.02109300095877277
OG0000011	PF02826.22	2-Hacid_dh_C	1041	1043	0.9980824544582934
OG0000011	PF19304.2	PGDH_inter	22	1043	0.02109300095877277
OG0000012	PF00682.22	HMGL-like	981	1002	0.9790419161676647
OG0000012	PF08502.13	LeuA_dimer	995	1002	0.9930139720558883
OG0000013	PF00107.29	ADH_zinc_N	1	986	0.0010141987829614604
OG0000013	PF01408.25	GFO_IDH_MocA	913	986	0.9259634888438134
OG0000013	PF01488.23	Shikimate_DH	3	986	0.0030425963488843813
OG0000013	PF02894.20	GFO_IDH_MocA_C	663	986	0.6724137931034483
OG0000014	PF00205.25	TPP_enzyme_M	960	982	0.9775967413441955
OG0000014	PF02775.24	TPP_enzyme_C	973	982	0.9908350305498982
OG0000014	PF02776.21	TPP_enzyme_N	952	982	0.9694501018329938
OG0000015	PF07045.14	DUF1330	965	965	1
OG0000016	PF00528.25	BPD_transp_1	946	959	0.986444212721585
OG0000017	PF00528.25	BPD_transp_1	950	956	0.9937238493723849
OG0000017	PF10947.11	DUF2628	25	956	0.02615062761506276
OG0000018	PF01380.25	SIS	493	939	0.5250266240681576
OG0000018	PF13522.9	GATase_6	809	939	0.8615548455804047
OG0000018	PF13537.9	GATase_7	108	939	0.11501597444089456
OG0000019	PF00953.24	Glycos_transf_4	857	868	0.9873271889400922
OG0000019	PF10555.12	MraY_sig1	251	868	0.2891705069124424
OG0000020	PF01370.24	Epimerase	830	843	0.9845788849347569
OG0000020	PF16363.8	GDP_Man_Dehyd	11	843	0.013048635824436536
OG0000021	PF00005.30	ABC_tran	1	833	0.0012004801920768306
OG0000021	PF02653.19	BPD_transp_2	830	833	0.9963985594237695
OG0000022	PF00890.27	FAD_binding_2	1	833	0.0012004801920768306
OG0000022	PF01571.24	GCV_T	821	833	0.985594237695078
OG0000022	PF07992.17	Pyr_redox_2	518	833	0.6218487394957983
OG0000022	PF08669.14	GCV_T_C	693	833	0.8319327731092437
OG0000022	PF12831.10	FAD_oxidored	226	833	0.27130852340936373
