Orthogroup,ko_id,ko_description,Specific_KO_Count,Rate
OG0000001,NA,No Annotation,2064,0.7661469933184856
OG0000001,K01709,"CDP-glucose 4,6-dehydratase [EC:4.2.1.45]",183,0.06792873051224944
OG0000001,K01784,UDP-glucose 4-epimerase [EC:5.1.3.2],162,0.060133630289532294
OG0000001,K08679,UDP-glucuronate 4-epimerase [EC:5.1.3.6],154,0.05716406829992576
OG0000001,K12454,CDP-paratose 2-epimerase [EC:5.1.3.10],67,0.024870081662954714
OG0000001,K01710,"dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]",41,0.015219005196733483
OG0000001,K24310,UDP-N-acetyl-alpha-D-quinovosamine dehydrogenase [EC:1.1.1.426],6,0.0022271714922048997
OG0000001,K19997,GlcNAc-P-P-Und epimerase [EC:5.1.3.26],4,0.0014847809948032665
OG0000001,K03274,ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20],3,0.0011135857461024498
OG0000001,K10046,"GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]",3,0.0011135857461024498
OG0000001,K02473,UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine 4-epimerase [EC:5.1.3.7 5.1.3.-],2,7.423904974016332e-4
OG0000001,K12453,CDP-paratose synthetase [EC:1.1.1.342],2,7.423904974016332e-4
OG0000001,K18981,uronate dehydrogenase [EC:1.1.1.203],2,7.423904974016332e-4
OG0000001,K02919,large subunit ribosomal protein L36,1,3.711952487008166e-4
