cluster	number of genomes	final representative	accession	genomes in cluster
cluster_000002	1	GCA_902583455.1_AG-912-F23	GCA_902583455.1	GCA_902583455.1_AG-912-F23
cluster_000005	1	GCA_902594715.1_AG-447-K11	GCA_902594715.1	GCA_902594715.1_AG-447-K11
cluster_000007	1	GCA_902601705.1_AG-917-F18	GCA_902601705.1	GCA_902601705.1_AG-917-F18
cluster_000008	1	RS39	RS39	RS39
cluster_000009	1	GCA_902623075.1_AH-287-B07	GCA_902623075.1	GCA_902623075.1_AH-287-B07
cluster_000012	1	GCA_902531765.1_AG-897-G15	GCA_902531765.1	GCA_902531765.1_AG-897-G15
cluster_000014	1	GCA_902628495.1_AH-324-B10	GCA_902628495.1	GCA_902628495.1_AH-324-B10
cluster_000015	1	GCA_000504625.1_ASM50462v1	GCA_000504625.1	GCA_000504625.1_ASM50462v1
cluster_000017	1	GCA_902545635.1_AG-901-A07	GCA_902545635.1	GCA_902545635.1_AG-901-A07
cluster_000018	1	GCA_902583075.1_AG-912-G22	GCA_902583075.1	GCA_902583075.1_AG-912-G22
cluster_000019	1	GCA_902515205.1_AG-325-D10	GCA_902515205.1	GCA_902515205.1_AG-325-D10
cluster_000020	1	HIMB1409	HIMB1409	HIMB1409
cluster_000021	1	GCA_902585045.1_AG-912-P19	GCA_902585045.1	GCA_902585045.1_AG-912-P19
cluster_000022	1	GCA_902540275.1_AG-359-D09	GCA_902540275.1	GCA_902540275.1_AG-359-D09
cluster_000023	1	GCA_902555465.1_AG-390-C19	GCA_902555465.1	GCA_902555465.1_AG-390-C19
cluster_000025	1	GCA_014653985.1_SAG-MED22	GCA_014653985.1	GCA_014653985.1_SAG-MED22
cluster_000026	1	GCA_902614055.1_AG-918-P10	GCA_902614055.1	GCA_902614055.1_AG-918-P10
cluster_000031	1	HTCC9565	HTCC9565	HTCC9565
cluster_000032	1	GCA_902611845.1_AG-918-E02	GCA_902611845.1	GCA_902611845.1_AG-918-E02
cluster_000033	1	GCA_902605865.1_AG-461-L09	GCA_902605865.1	GCA_902605865.1_AG-461-L09
