Genome	Clade1	Clade2	Subclade	depth	latitude	longitude	type	reference	place	Completeness	Contamination	Genome_Size	est_Genome_Size	GC
AG-313-A04	II	IIa	IIa.B				SAG	"Berube et al., Sci. Data, 2018"	Coastal-Chile-Peru Current Coastal Province	87.31	0	959028	1098417.134	29.91
AG-319-F18	I	Ia	Ia.3				SAG	"Berube et al., Sci. Data, 2018"	Coastal-Chile-Peru Current Coastal Province	81.24	0.07	1134287	1396217.381	29.15
AG-325-C02	I	Ib	Ib.1				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	56.42	0.05	786008	1393137.185	29.72
AG-325-C03	II	IIa	IIa.B				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	79.12	0.03	978245	1236406.724	29.22
AG-325-C10	I	Ia	Ia.3				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	80.18	0.36	1087529	1356359.441	29.53
AG-325-E08	I	Ia	Ia.4				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	88.71	0.02	1024954	1155398.489	29.01
AG-325-E13	II	IIa	IIa.B				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	89.3	0.04	955892	1070427.772	29.37
AG-325-E23	I	Ib	Ib.2				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	81.85	0.01	1159533	1416656.078	29.4
AG-325-F13	I	Ia	Ia.4				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	71.9	0.04	894461	1244034.771	29.16
AG-325-F15	I	Ia	Ia.3				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	70.53	0.15	1003629	1422981.71	29.12
AG-325-J13	II	IIa	IIa.B				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	80.82	0.07	921506	1140195.496	29.63
AG-325-J17	I	Ia	Ia.4				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	76.96	0.13	977881	1270635.395	29
AG-333-C14	IV	IV	IV				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	84.52	0	1189654	1407541.41	33.38
AG-337-G04	I	Ib	Ib.2				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	96.41	0.04	1330070	1379597.552	29.39
AG-337-G06	IV	IV	IV				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	93.19	0.01	1270863	1363733.233	33.46
