OG_ID	cog_best	cog_best_name	cog_best_gene	cog_best_letter	cog_best_description	cog_support	n_genes	cog_rate
OG0000000	COG1132	ABC-type multidrug and LPS transport system, ATPase and permease component MsbA	MdlB	M	Cell wall/membrane/envelope biogenesis	21	1797	0.011686143572621035
OG0000000	COG1134	ABC-type polysaccharide/polyol phosphate transport system, ATPase component	TagH	G	Carbohydrate transport and metabolism	1	1797	5.564830272676684e-4
OG0000000	COG1135	ABC-type methionine transport system, ATPase component	AbcC	E	Amino acid transport and metabolism	1	1797	5.564830272676684e-4
OG0000000	COG1136	ABC-type lipoprotein targeting system ATPase component LolD	LolD	M	Cell wall/membrane/envelope biogenesis	828	1797	0.4607679465776294
OG0000000	COG2274	ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain	SunT	V	Defense mechanisms	18	1797	0.01001669449081803
OG0000000	COG3638	ABC-type phosphate/phosphonate transport system, ATPase component	PhnC	P	Inorganic ion transport and metabolism	72	1797	0.04006677796327212
OG0000000	COG4133	ABC-type transport system involved in cytochrome c biogenesis, ATPase component	CcmA	O	Posttranslational modification, protein turnover, chaperones	2	1797	0.0011129660545353367
OG0000000	COG4175	ABC-type proline/glycine betaine transport system, ATPase component	ProV	E	Amino acid transport and metabolism	850	1797	0.4730105731775181
OG0000000	COG4988	ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components	CydD	C	Energy production and conversion	3	1797	0.001669449081803005
OG0000001	COG1116	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	TauB	P	Inorganic ion transport and metabolism	149	1548	0.0962532299741602
OG0000001	COG3839	ABC-type sugar transport system, ATPase component MalK	MalK	G	Carbohydrate transport and metabolism	1096	1548	0.7080103359173127
OG0000001	COG3842	ABC-type Fe3+/spermidine/putrescine transport systems, ATPase component	PotA	E	Amino acid transport and metabolism	18	1548	0.011627906976744186
OG0000001	COG4525	ABC-type taurine transport system, ATPase component	TauB	P	Inorganic ion transport and metabolism	283	1548	0.18281653746770027
OG0000002	COG0395	ABC-type glycerol-3-phosphate transport system, permease component	UgpE	G	Carbohydrate transport and metabolism	1037	1520	0.6822368421052631
OG0000002	COG1176	ABC-type spermidine/putrescine transport system, permease component I	PotB	E	Amino acid transport and metabolism	1	1520	6.578947368421052e-4
OG0000002	COG1177	ABC-type spermidine/putrescine transport system, permease component II	PotC	E	Amino acid transport and metabolism	482	1520	0.3171052631578947
