Orthogroup,Pfam_ID,Pfam_NAME,Specific_Pfam_Count,Pfam_Specific_Rate
OG0000000,PF13561.9,adh_short_C2,2130,0.775673707210488
OG0000000,PF00106.28,adh_short,612,0.2228696285506191
OG0000000,PF01575.22,MaoC_dehydratas,3,0.0010924981791697013
OG0000000,PF01370.24,Epimerase,1,3.641660597232338e-4
OG0000001,PF01370.24,Epimerase,1873,0.7001869158878504
OG0000001,PF16363.8,GDP_Man_Dehyd,782,0.29233644859813085
OG0000001,PF04321.20,RmlD_sub_bind,8,0.0029906542056074765
OG0000001,PF00571.31,CBS,7,0.002616822429906542
OG0000001,PF00106.28,adh_short,1,3.7383177570093456e-4
OG0000001,PF00444.21,Ribosomal_L36,1,3.7383177570093456e-4
OG0000001,PF01073.22,3Beta_HSD,1,3.7383177570093456e-4
OG0000001,PF02543.18,Carbam_trans_N,1,3.7383177570093456e-4
OG0000001,PF02719.18,Polysacc_synt_2,1,3.7383177570093456e-4
OG0000002,PF00535.29,Glycos_transf_2,1937,0.9817536746071972
OG0000002,PF03808.16,Glyco_tran_WecG,19,0.00963000506842372
OG0000002,PF13489.9,Methyltransf_23,5,0.002534211860111505
OG0000002,PF02348.22,CTP_transf_3,3,0.0015205271160669033
OG0000002,PF01370.24,Epimerase,2,0.0010136847440446021
OG0000002,PF01933.21,CofD,2,0.0010136847440446021
OG0000002,PF00483.26,NTP_transferase,1,5.068423720223011e-4
OG0000002,PF00534.23,Glycos_transf_1,1,5.068423720223011e-4
OG0000002,PF02698.20,DUF218,1,5.068423720223011e-4
OG0000002,PF02709.17,Glyco_transf_7C,1,5.068423720223011e-4
OG0000002,PF13632.9,Glyco_trans_2_3,1,5.068423720223011e-4
OG0000003,PF00005.30,ABC_tran,1891,0.9936941671045717
OG0000003,PF00664.26,ABC_membrane,12,0.006305832895428271
OG0000004,PF06808.15,DctM,1889,0.9994708994708995
OG0000004,PF04290.15,DctQ,1,5.291005291005291e-4
OG0000005,PF00892.23,EamA,2618,1
OG0000006,PF01571.24,GCV_T,1296,0.5701715794104707
OG0000006,PF08669.14,GCV_T_C,976,0.429388473383194
OG0000006,PF12697.10,Abhydrolase_6,1,4.399472063352398e-4
OG0000007,PF00528.25,BPD_transp_1,1205,1
OG0000008,PF05050.15,Methyltransf_21,1111,0.9964125560538116
OG0000008,PF02475.19,Met_10,2,0.0017937219730941704
OG0000008,PF02390.20,Methyltransf_4,1,8.968609865470852e-4
OG0000008,PF02649.17,GCHY-1,1,8.968609865470852e-4
OG0000009,PF03480.16,DctP,1140,1
OG0000010,PF00005.30,ABC_tran,1128,0.5551181102362205
OG0000010,PF08402.13,TOBE_2,612,0.30118110236220474
OG0000010,PF17912.4,OB_MalK,292,0.1437007874015748
OG0000011,PF01041.20,DegT_DnrJ_EryC1,1130,0.9877622377622378
