OG_ID	Sequence_ID	Sequence_length	Gap_count	Identity_count	Difference_count	Percent_change
OG0000000	AG-891-A05_AG-891-A05_01115	90	3	44	32	52.688171
OG0000001	AG-918-N23_AG-918-N23_00602	68	4	39	26	45.833332
OG0000002	AG-919-O02_AG-919-O02_01117	90	11	39	40	61.386139
OG0000003	AG-447-P22_AG-447-P22_00254	283	50	141	118	57.657658
OG0000004	HIMB1492_HIMB1492_00571	96	0	68	20	29.166666
OG0000005	AG-914-L04_AG-914-L04_00465	289	33	187	83	41.925465
OG0000006	AG-447-M05_AG-447-M05_00341	47	1	32	13	33.333332
OG0000007	AG-337-E15_AG-337-E15_01090	35	14	16	13	67.346939
OG0000008	HIMB2211_HIMB2211_01518	240	126	158	70	56.830601
OG0000009	AG-426-C04_AG-426-C04_00688	91	30	42	37	65.289253
OG0000010	AH-287-J18_AH-287-J18_01092	112	10	74	30	39.344261
OG0000011	AG-422-C13_AG-422-C13_01131	188	31	110	69	49.771690
OG0000012	AG-430-A11_AG-430-A11_00667	34	0	17	12	50.000000
OG0000013	AG-918-M15_AG-918-M15_00663	108	45	38	53	75.163399
OG0000014	HIMB1835_HIMB1835_00111	594	40	388	191	38.801262
OG0000015	HIMB1493_HIMB1493_01112	98	2	55	33	45.000000
OG0000016	AG-894-B06_AG-894-B06_01313	79	6	38	31	55.294117
OG0000017	BACL5_MAG-120820-bin39_BACL5_MAG-120820-bin39_00490	147	0	76	46	48.299320
OG0000018	HIMB2304_HIMB2304_00991	142	0	105	37	26.056337
OG0000019	AG-919-O02_AG-919-O02_00690	361	112	296	57	37.420719
OG0000020	AG-390-G13_AG-390-G13_00359	35	5	14	18	65.000000
OG0000021	AG-390-G11_AG-390-G11_00644	142	2	80	58	44.444443
OG0000022	AG-918-K13_AG-918-K13_01352	445	3	337	75	24.776785
OG0000023	AG-909-A17_AG-909-A17_01064	345	101	189	131	57.623318
OG0000024	AG-892-F02_AG-892-F02_00897	90	0	74	12	17.777779
OG0000025	AG-349-L17_AG-349-L17_01165	165	15	143	13	20.555555
OG0000026	SAG-MED06_SAG-MED06_00825	286	40	176	85	46.012268
OG0000027	AG-918-E02_AG-918-E02_01335	142	10	124	12	18.421053
OG0000028	AG-917-I17_AG-917-I17_01182	52	44	20	26	79.166664
OG0000029	ETNP2013_S02_SV82_300m_MAG_01_ETNP2013_S02_SV82_300m_MAG_01_00964	287	13	141	122	53.000000
OG0000030	Uisw_121_Uisw_121_00106	66	5	52	12	26.760563
OG0000031	AG-903-O08_AG-903-O08_00536	432	44	328	81	31.092438
OG0000032	AG-333-A04_AG-333-A04_00761	234	143	190	28	49.602123
OG0000033	AG-895-J19_AG-895-J19_00275	197	45	156	36	35.537189
OG0000034	AG-447-N21_AG-447-N21_00295	190	17	152	23	26.570047
OG0000035	SAG-MED08_SAG-MED08_01175	99	48	78	17	46.938774
OG0000036	AG-439-E23_AG-439-E23_00456	309	16	269	25	17.230770
OG0000037	AG-430-G11_AG-430-G11_01220	30	6	8	14	77.777779
OG0000038	AG-918-L07_AG-918-L07_01281	213	8	177	25	19.909502
OG0000039	AH-324-K09_AH-324-K09_00733	49	6	38	9	30.909090
OG0000040	AG-893-P10_AG-893-P10_00727	368	14	349	13	8.638743
OG0000041	AG-447-E19_AG-447-E19_01084	638	4	528	83	17.757010
OG0000042	HIMB1835_HIMB1835_01031	58	0	42	11	27.586206
