genome_id	genome_size_bp	gc_percent	n_contigs	n50	min_contig_length	max_contig_length	n_proteins	median_protein_length	mean_protein_length	p95_protein_length	max_protein_length	COG_coverage	KO_coverage	Pfam_coverage	any_annotation_coverage	completeness	contamination	completeness_model	translation_table	coding_density	checkm2_contig_n50	checkm2_average_gene_length	checkm2_genome_size	checkm2_gc_content	checkm2_total_coding_sequences	checkm2_total_contigs	checkm2_max_contig_length	checkm2_notes	quality_class	clade_1	clade_2	subclade	subgroup	Order	Family	Genus	Species	reference	type_strain_Freel_2024	genome_type	depth	latitude	longitude	depth_cat	latitude_cat	longhurst_code	description	habitat_type	waterbody_name	habitat_source
AAA795-A20	1140609	29.12	63	106301	516	164562	1202	269	297.2995008319468	641	1501	88.60232945091514	61.89683860232945	88.6855241264559	92.34608985024958	92.2	0.04	Neural Network (Specific Model)	11	0.962	106301	294.1635926222935	1140609	0.29	1247	63	164562	None	High completeness	I	Ia	Ia.3.V	Ia.3.V	Pelagibacterales	Pelagibacteraceae	Xanthipelagibacter	NA	Luo et al., (2015)	NA	SAG	1	19.75	40.05	0-100m	northern_tropical	REDS	Coastal - Red Sea, Persian Gulf Province	marine	Red Sea	Luo et al., (2015); coordinate in table; Longhurst REDS; inferred waterbody Red Sea
AAA795-D22	1010421	28.81	68	79594	518	163519	1076	261	292.3159851301115	638	1387	84.94423791821562	58.82899628252788	87.45353159851301	89.59107806691449	86.14	0.05	Neural Network (Specific Model)	11	0.966	79594	290.1893333333333	1010421	0.29	1125	68	163519	None	Medium completeness	I	Ia	Ia.3.III	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Luo et al., (2015); Thompson et al., (2019)	NA	SAG	1	19.75	40.05	0-100m	northern_tropical	REDS	Coastal - Red Sea, Persian Gulf Province	marine	Red Sea	Luo et al., (2015); Thompson et al., (2019); coordinate in table; Longhurst REDS; inferred waterbody Red Sea
AG-313-A04	959028	29.91	19	120817	2221	288767	1004	269	301.83466135458167	643.8499999999999	1498	88.34661354581674	63.745019920318725	89.8406374501992	92.52988047808765	87.31	0	Neural Network (Specific Model)	11	0.966	120817	302.625	959028	0.3	1024	19	288767	None	Medium completeness	II	IIa	IIa.B	IIa.B	Pelagibacterales	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	20	-20.08	-70.8	0-100m	southern_tropical	CHIL	Coastal - Chile-Peru Current Coastal Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst CHIL; inferred waterbody South Pacific Ocean
AG-325-C18	1065439	29.2	22	139225	2522	190308	1136	259	297.2737676056338	668.5	1501	86.44366197183099	59.94718309859155	87.94014084507043	90.66901408450704	92.63	0.04	Neural Network (Specific Model)	11	0.963	139225	296.87456747404843	1065439	0.29	1156	22	190308	None	High completeness	I	Ia	Ia.4	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	14	-23.46	-88.77	0-100m	southern_tropical	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
AG-325-C21	1036643	28.89	45	46875	2013	111441	1101	268	294.61943687556766	638	1103	87.55676657584016	59.945504087193456	89.3732970027248	92.188919164396	86.58	0.4	Neural Network (Specific Model)	11	0.965	46875	293.3312883435583	1036643	0.29	1141	45	111441	None	Medium completeness	I	Ib	Ib.5	Ib.5	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	14	-23.46	-88.77	0-100m	southern_tropical	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
AG-325-E08	1024954	29.01	34	57404	2168	138492	1076	260	300.96096654275095	676.25	1501	88.84758364312268	62.45353159851301	89.68401486988847	92.65799256505576	88.71	0.02	Neural Network (Specific Model)	11	0.964	57404	299.7640653357532	1024954	0.29	1102	34	138492	None	Medium completeness	I	Ia	Ia.4	Ib.4.N2	Pelagibacterales	Pelagibacteraceae	Pantolocipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	14	-23.46	-88.77	0-100m	southern_tropical	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
AG-325-E13	955892	29.37	28	85732	2329	229235	1008	263	296.4434523809524	656.4999999999998	1395	87.40079365079364	60.51587301587301	88.59126984126983	91.96428571428571	89.3	0.04	Neural Network (Specific Model)	11	0.962	85732	295.7980769230769	955892	0.29	1040	28	229235	None	Medium completeness	II	IIa	IIa.B	IIa.B	Pelagibacterales	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	14	-23.46	-88.77	0-100m	southern_tropical	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
AG-325-E20	1071569	29.38	8	739086	2463	739086	1135	268	302.0546255506608	644.7999999999997	1499	87.66519823788546	62.290748898678416	89.0748898678414	91.62995594713657	99.14	0.05	Neural Network (Specific Model)	11	0.965	739086	301.81588132635255	1071569	0.29	1146	8	739086	None	High completeness	II	IIa	IIa.A	IIa.A.2	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	14	-23.46	-88.77	0-100m	southern_tropical	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
AG-325-G21	1091144	29.07	27	91461	2125	165476	1143	268	301.4846894138233	650.7999999999997	1639	86.3517060367454	58.96762904636921	87.13910761154857	90.63867016622922	87.56	0.53	Neural Network (Specific Model)	11	0.961	91461	299.82805816937554	1091144	0.29	1169	27	165476	None	Medium completeness	I	Ib	Ib.5	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	14	-23.46	-88.77	0-100m	southern_tropical	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
AG-325-L02	1043497	29.09	20	268828	2248	285760	1099	267	300.6323930846224	637	1724	87.53412192902638	58.143767060964514	88.26205641492265	91.62875341219289	86.98	0.01	Neural Network (Specific Model)	11	0.962	268828	299.97050938337804	1043497	0.29	1119	20	285760	None	Medium completeness	I	Ia	Ia.4	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	14	-23.46	-88.77	0-100m	southern_tropical	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
