accession	orthogroup	match_type	gene_name	cog_gene	ko_name	pfam_names	gene_id	genome	ko_id	cog_id	pident
Q1V2J4	OG0000000	Close sequence match	ProV	ProV	glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]	ABC_tran,ABC_membrane,CBS	HTCC1002_00483	HTCC1002	K02000	COG4175	100
Q4FMH3	OG0000000	Close sequence match	ProV	ProV	glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]	ABC_tran,ABC_membrane,CBS	HTCC1062_00808	HTCC1062	K02000	COG4175	100
A0A6H1Q2Y0	OG0000001	Close sequence match	MalK	MalK	taurine transport system ATP-binding protein [EC:7.6.2.7]	ABC_tran,OB_MalK,TOBE_2	NP1_00447	NP1		COG3839	100
Q4FMJ9	OG0000001	Close sequence match	MalK	MalK	taurine transport system ATP-binding protein [EC:7.6.2.7]	ABC_tran,OB_MalK,TOBE_2	HTCC1002_00505	HTCC1002		COG3839	100
A0A6H1Q1M1	OG0000002	Close sequence match	UgpE	UgpE	putative spermidine/putrescine transport system permease protein	BPD_transp_1	NP1_00448	NP1	K17317	COG0395	100
A0A6H1Q2W3	OG0000002	Close sequence match	UgpE	UgpE	putative spermidine/putrescine transport system permease protein	BPD_transp_1	NP1_01013	NP1		COG0395	100
Q4FMK0	OG0000002	Close sequence match	UgpE	UgpE	putative spermidine/putrescine transport system permease protein	BPD_transp_1	HTCC1002_00506	HTCC1002	K17317	COG0395	100
Q1UZ76	OG0000003	Close sequence match	EamA	EamA	S-adenosylmethionine uptake transporter	EamA	HTCC1002_00258	HTCC1002	K15270	COG0697	100
Q4FLA1	OG0000003	Close sequence match	EamA	EamA	S-adenosylmethionine uptake transporter	EamA	HTCC1062_01245	HTCC1062	K15270	COG0697	100
A0A6H1Q3U8	OG0000004	Close sequence match	DadA	DadA	sarcosine oxidase, subunit beta [EC:1.5.3.24 1.5.3.1]	DAO	NP1_01368	NP1		COG0665	100
