Orthogroup	gene_id	Accession_number	pident
OG0000000	HTCC1062_00855	Q1V2P4	96.8
OG0000001	HTCC1062_01023	Q4FLW6	96.4
OG0000002	HTCC1062_00574	Q4FN56	96.2
OG0000003	HTCC1062_01189	Q4FLF6	96.3
OG0000004	HTCC1062_01303	Q4FL43	92.4
OG0000005	HTCC1062_01030	Q1UZ76	92.5
OG0000006	HTCC1062_01277	Q4FL69	100
OG0000007	HTCC1062_01221	Q4FLC4	92.5
OG0000008	HTCC1062_00393	Q4FNM5	94.9
OG0000009	HTCC1062_00872	Q4FMA9	96.6
OG0000010	HTCC1062_01348	Q4FKZ7	96.9
OG0000011	HTCC1062_00546	Q4FN84	96.8
OG0000012	HTCC1062_00274	Q4FNZ3	94
OG0000013	HTCC1062_01265	Q4FL81	99.7
OG0000014	HTCC1062_00278	Q1V132	98.5
OG0000015	HTCC1062_00194	Q4FP73	95.8
OG0000016	HTCC1062_00638	Q4FMZ4	98.4
OG0000017	HTCC1062_00262	Q1V118	95.9
OG0000018	HTCC1062_00826	Q4FMF5	92.5
OG0000019	HTCC1062_01367	Q1V088	94.4
OG0000020	HTCC1062_01368	Q4FKX7	94.2
OG0000021	HTCC1062_00184	Q4FP83	100
OG0000022	HTCC1062_01210	Q4FLD5	96.6
OG0000023	HTCC1062_01308	Q4FL38	94.2
OG0000024	HTCC1062_01154	Q4FLJ1	98.9
OG0000025	HTCC1062_00247	Q4FP20	97
OG0000026	HTCC1062_00811	Q4FMH0	95.5
OG0000027	HTCC1062_01229	Q4FLB6	99.3
OG0000028	HTCC1062_00279	Q4FNY8	98.1
OG0000029	HTCC1062_00776	Q4FMK5	96.5
OG0000030	HTCC1062_00841	Q4FME0	97.6
OG0000031	HTCC1062_00187	Q4FP80	99
OG0000032	HTCC1062_00149	Q4FPB9	90
OG0000033	HTCC1062_01309	Q1V025	94.6
OG0000034	HTCC1062_00873	Q1V2R2	98.5
OG0000035	HTCC1062_01294	Q4FL52	97.1
OG0000036	HTCC1062_01296	Q1V017	99.7
OG0000037	HTCC1062_00260	Q1V116	93.4
OG0000038	HTCC1062_00484	Q4FNE0	100
OG0000039	HTCC1062_01092	Q4FLP8	94.3
OG0000040	HTCC1062_00052	Q4FPP6	94.8
OG0000041	HTCC1062_01093	Q4FLP7	94.8
OG0000042	HTCC7211_01387	B6BQI4	100
OG0000043	HTCC1062_00524	Q4FNA2	96
OG0000044	HTCC1062_01375	Q4FKX0	100
OG0000045	HTCC1062_00797	Q4FMI4	91
OG0000046	HTCC1062_01339	Q4FL06	96
OG0000047	HTCC1062_00003	Q4FPQ4	97.2
OG0000048	HTCC1062_00661	Q4FMX0	92
OG0000049	HTCC1062_00898	A0A9D7ZT48	100
OG0000050	HTCC1062_00866	Q1V2Q5	98.6
OG0000051	RS39_00297	A0A1W6BCB4	98.4
OG0000052	HTCC1062_00762	Q4FML9	93.8
OG0000053	HTCC1062_00331	Q4FNT7	96.5
OG0000054	HTCC1062_00781	Q4FMK0	94.7
OG0000055	HTCC1062_01057	Q4FLT2	99.1
OG0000056	HTCC1062_00304	Q4FNW3	98.9
OG0000057	HTCC1062_00333	Q1V189	96.8
OG0000058	HTCC1062_00549	Q1V1U8	97.9
OG0000059	HTCC1062_01272	Q1UZZ2	92.8
OG0000060	HTCC1062_00146	Q1V0Q0	96
OG0000061	HTCC1062_01349	A0A9D7WLU0	99.4
OG0000062	HTCC1062_00784	Q4FMJ7	96.6
OG0000063	HTCC1062_00729	Q4FMQ2	91.8
OG0000064	HTCC1062_01215	Q4FLD0	91.2
OG0000065	HTCC1062_00291	Q4FNX6	99.7
OG0000066	HTCC1062_00548	Q1V1U7	95.7
OG0000067	HTCC1062_00514	Q4FNB2	92.9
OG0000068	HTCC1062_00654	Q4FMX7	94.2
OG0000069	HTCC1062_00248	Q4FP19	98.6
OG0000070	HTCC1062_00830	Q4FMF1	96.3
OG0000071	HTCC1062_01299	Q4FL47	97.2
OG0000072	HTCC1062_01228	Q4FLB7	98
OG0000073	HTCC1062_00831	Q4FMF0	98.4
OG0000074	HTCC1062_00089	Q4FPH9	99.2
OG0000075	HTCC1062_00407	Q4FNL1	99.7
OG0000076	HTCC1062_00238	Q4FP29	92.5
OG0000077	HTCC1062_01336	Q4FL09	92
OG0000078	HTCC1062_00237	Q4FP30	95.2
OG0000079	HTCC1062_01206	Q1UZT0	89.5
OG0000080	HTCC1062_01037	Q1UZ83	96.2
OG0000081	HTCC1062_00440	Q4FNI0	95
OG0000082	HTCC1062_00461	Q4FNG0	94.8
OG0000083	HTCC1062_01165	Q4FLI0	94.9
OG0000084	HTCC1062_01369	A0A9D7WLE6	95.6
OG0000085	HTCC1062_00431	Q4FNI9	94
OG0000086	HTCC1062_00450	Q4FNH1	94.9
OG0000087	HTCC1062_00177	Q4FP90	97.4
OG0000088	HTCC1062_01370	A0A9D7WHP5	91.4
OG0000089	HIMB1520_01034	J9YYH6	100
OG0000090	HTCC1062_00753	Q4FMM8	96.9
OG0000091	HTCC1062_00242	Q4FP25	96.6
OG0000092	HTCC1062_00818	Q4FMG3	98.9
