contig	start	end	strand	seq_id	genome	aa_length	Orthogroup	ko_id	ko_description	COG_ID	GENE_NAME	COG_NAME	center_query	relative_order
CVSB01000006.1	517	711	+	AAA795-A20_00007	AAA795-A20	64	OG0001438	NA	NA	NA	NA	NA	AAA795-A20_00009	-2
CVSB01000006.1	725	1108	+	AAA795-A20_00008	AAA795-A20	127	OG0001184	NA	NA	COG0346	GloA	Glyoxalase, catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family	AAA795-A20_00009	-1
CVSB01000006.1	1121	1486	+	AAA795-A20_00009	AAA795-A20	121	OG0001342	NA	NA	COG3791	NA	Uncharacterized conserved protein	AAA795-A20_00009	0
CVSB01000006.1	1494	2423	+	AAA795-A20_00010	AAA795-A20	309	OG0000937	K15918	D-glycerate 3-kinase [EC:2.7.1.31]	COG4240	Tda10	Pantothenate kinase-related protein Tda10 (topoisomerase I damage affected protein)	AAA795-A20_00009	1
CVSB01000006.1	2420	3712	+	AAA795-A20_00011	AAA795-A20	430	OG0000566	K12340	outer membrane protein	COG1538	TolC	Outer membrane protein TolC	AAA795-A20_00009	2
CVSB01000006.1	3820	4977	+	AAA795-A20_00012	AAA795-A20	385	OG0000672	K03553	recombination protein RecA	COG0468	RecA	RecA/RadA recombinase	AAA795-A20_00009	3
CVSB01000006.1	5071	7737	+	AAA795-A20_00013	AAA795-A20	888	OG0000318	K01872	alanyl-tRNA synthetase [EC:6.1.1.7]	COG0013	AlaS	Alanyl-tRNA synthetase	AAA795-A20_00009	4
CVSB01000006.1	7729	8943	-	AAA795-A20_00014	AAA795-A20	404	OG0000634	K00031	isocitrate dehydrogenase [EC:1.1.1.42]	COG0538	Icd	Isocitrate dehydrogenase	AAA795-A20_00009	5
CABYCY010000002.1	75235	76449	+	AG-333-A04_00254	AG-333-A04	404	OG0000634	K00031	isocitrate dehydrogenase [EC:1.1.1.42]	COG0538	Icd	Isocitrate dehydrogenase	AG-333-A04_00259	-5
CABYCY010000002.1	76441	79107	-	AG-333-A04_00255	AG-333-A04	888	OG0000318	K01872	alanyl-tRNA synthetase [EC:6.1.1.7]	COG0013	AlaS	Alanyl-tRNA synthetase	AG-333-A04_00259	-4
CABYCY010000002.1	79201	80352	-	AG-333-A04_00256	AG-333-A04	383	OG0000672	K03553	recombination protein RecA	COG0468	RecA	RecA/RadA recombinase	AG-333-A04_00259	-3
CABYCY010000002.1	80460	81758	-	AG-333-A04_00257	AG-333-A04	432	OG0000566	K12340	outer membrane protein	COG1538	TolC	Outer membrane protein TolC	AG-333-A04_00259	-2
